#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718442.1         -            862 3691at5820           -            651         0 1171.2 104.4   1   3  1.1e-180  2.3e-177  590.2  36.7     1   286     1   289     1   296 0.99 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3691at5820           -            651   0.00083   16.8   4.3   4   4         3   6.5e+03  -16.3  34.0   528   626  1075  1180   942  1188 0.85 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3691at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3691at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3691at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:18 2026
# [ok]
