#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   1  23   1.8e-26   1.1e-22   77.3  21.2    26   175   264   474   237   490 0.68 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  18  23   1.1e-61   7.1e-58  194.1  13.1  1907  2136  4727  5050  4719  5058 0.74 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  19  23   2.1e-47   1.4e-43  146.7  13.6  2153  2271  5210  5336  5188  5352 0.79 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  20  23   3.3e-94   2.1e-90  302.0  31.1  2254  2432  5434  5620  5420  5625 0.87 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  21  23   1.9e-74   1.2e-70  236.4  22.8  2432  2608  5733  5933  5723  5969 0.86 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  22  23   5.7e-09   3.7e-05   19.2   4.8  2599  2663  5982  6067  5959  6084 0.74 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  23  23  7.1e-299  4.6e-295  981.1  47.6  2659  3125  6104  6586  6095  6586 0.97 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/54at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/54at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/54at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:02 2026
# [ok]
