#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   1   8   1.2e-06    0.0037   14.5   0.1     1    22    19    40    19    43 0.94 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 2641at5820           -            590   0.00014   19.2   2.1   4   5   4.3e-08   0.00014   19.2   2.1   222   362   478   621   460   625 0.85 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 2641at5820           -            590   0.00014   19.2   2.1   5   5      0.13   4.2e+02   -2.2   0.0   538   571   655   685   647   696 0.81 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2641at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2641at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2641at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:07 2026
# [ok]
