#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   1  13   4.2e-06     0.027    9.7   0.6     1    21     1    21     1    25 0.95 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1  12  13   6.1e-30   3.9e-26   88.8   0.0  2055  2203  2955  3161  2949  3172 0.80 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1  13  13   0.00018       1.2    4.3   0.4  2203  2222  3377  3396  3363  3396 0.81 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/118at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/118at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/118at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:03 2026
# [ok]
