#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723338.1         -            955 1924at5820           -            822         0 1773.9  41.2   1   2         0         0 1451.3  29.7     8   657     4   703     2   711 0.97 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1924at5820           -            822   1.2e-58  197.4  20.5   1   3    0.0065       5.3    3.4   6.2   229   397   260   426   248   468 0.71 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1924at5820           -            822   1.2e-58  197.4  20.5   2   3   1.1e-54   8.9e-52  174.7   1.5   444   652   811  1020   793  1028 0.95 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1924at5820           -            822   1.2e-58  197.4  20.5   3   3   3.1e-10   2.5e-07   27.6   0.2   661   730  1144  1216  1127  1261 0.85 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1924at5820           -            822     2e-35  120.6   3.4   1   6         3   2.4e+03   -5.4   3.5   166   206    32    72    24    80 0.84 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1924at5820           -            822     2e-35  120.6   3.4   2   6       2.1   1.7e+03   -4.9   1.7   207   259   301   359   278   383 0.62 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1924at5820           -            822     2e-35  120.6   3.4   3   6     0.035        29    1.0   0.3   302   389   491   574   469   598 0.76 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1924at5820           -            822     2e-35  120.6   3.4   4   6     0.048        38    0.6   0.0   447   479   723   755   687   768 0.85 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1924at5820           -            822     2e-35  120.6   3.4   5   6   1.4e-35   1.1e-32  111.5   1.5   485   649   877  1042   865  1051 0.86 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1924at5820           -            822     2e-35  120.6   3.4   6   6     2e-07   0.00016   18.4   0.0   660   736  1161  1236  1141  1246 0.83 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1924at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1924at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1924at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:24 2026
# [ok]
