#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717663.1         -           1116 2233at5820           -            734         0 1326.2  96.3   1   6  1.7e-105  1.8e-102  342.5  17.0     6   178    16   188     7   198 0.95 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723645.1         -            376 2233at5820           -            734   1.3e-10   38.9   0.4   1   2     0.021        22    1.7   0.0   110   149   178   217   102   241 0.74 | transcript=PVPAM_140056900_t1 | gene=PVPAM_140056900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000014:2235558-2236895(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723645.1         -            376 2233at5820           -            734   1.3e-10   38.9   0.4   2   2     2e-12   2.2e-09   34.8   0.1   258   328   266   336   222   351 0.83 | transcript=PVPAM_140056900_t1 | gene=PVPAM_140056900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000014:2235558-2236895(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719157.1         -            556 2233at5820           -            734   2.7e-05   21.3   0.4   1   2     9e-05     0.097    9.5   0.1   120   186   184   256   174   265 0.67 | transcript=PVPAM_060016400_t1 | gene=PVPAM_060016400 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=CASCJQ010000006:477532-479372(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719157.1         -            556 2233at5820           -            734   2.7e-05   21.3   0.4   2   2    0.0001      0.11    9.3   0.0   294   337   448   491   444   503 0.90 | transcript=PVPAM_060016400_t1 | gene=PVPAM_060016400 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=CASCJQ010000006:477532-479372(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721891.1         -            433 2233at5820           -            734    0.0021   15.0   7.2   1   1   2.6e-06    0.0028   14.6   7.2   420   549   118   242    99   282 0.73 | transcript=PVPAM_120012500_t1 | gene=PVPAM_120012500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=CASCJQ010000012:308422-309723(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2233at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2233at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2233at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:51 2026
# [ok]
