#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721102.1         -            328 13894at5820          -            261  5.2e-120  398.7  87.2   1   2  1.3e-104  3.5e-102  340.2  54.6     1   207     7   245     7   246 0.92 | transcript=PVPAM_100037000_t1 | gene=PVPAM_100037000 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=CASCJQ010000010:1378622-1379608(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718904.1         -            236 13894at5820          -            261    0.0066   14.8   0.0   2   3   2.4e-05    0.0066   14.8   0.0     9    79    37   107    29   116 0.90 | transcript=PVPAM_050029600_t1 | gene=PVPAM_050029600 | organism=Plasmodium_vivax_PAM | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=CASCJQ010000005:1023050-1023894(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718904.1         -            236 13894at5820          -            261    0.0066   14.8   0.0   3   3       1.2   3.2e+02   -0.5   1.7   187   217   126   156   114   178 0.48 | transcript=PVPAM_050029600_t1 | gene=PVPAM_050029600 | organism=Plasmodium_vivax_PAM | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=CASCJQ010000005:1023050-1023894(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 13894at5820          -            261     0.028   12.8   0.0   1   4     0.023       6.2    5.1   0.0    22    72   102   152    84   163 0.88 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 13894at5820          -            261     0.028   12.8   0.0   2   4      0.15        40    2.4   0.0    16    70   194   247   181   263 0.74 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 13894at5820          -            261     0.028   12.8   0.0   3   4       6.1   1.6e+03   -2.9   7.1   172   253   263   344   257   352 0.67 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 13894at5820          -            261     0.028   12.8   0.0   4   4    0.0001     0.028   12.8   0.0    26    81   418   473   413   498 0.88 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13894at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13894at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13894at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:45 2026
# [ok]
