#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722444.1         -            207 11342at5820          -            189  6.1e-127  419.4  19.1   1   1  8.6e-130    7e-127  419.2  19.1     1   189     5   195     5   195 0.99 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 11342at5820          -            189   0.00036   19.0   0.2   1   2      0.42   3.4e+02   -0.4   0.0    53    83    19    49     9    54 0.75 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 11342at5820          -            189   0.00036   19.0   0.2   2   2     8e-07   0.00065   18.2   0.2    16    98    52   132    29   135 0.80 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 11342at5820          -            189   0.00044   18.7   0.4   1   1   1.5e-06    0.0012   17.3   0.4    39    99   531   596   507   602 0.82 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11342at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11342at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11342at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:10 2026
# [ok]
