#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719950.1         -           1547 1130at5820           -           1077         0 2101.1  33.7   1   2   6.9e-11   6.3e-08   29.4   1.3     1    71     1    77     1   123 0.47 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1130at5820           -           1077   4.8e-25   86.1  38.5   3   6         7   6.5e+03   -7.4  12.2     5   106   716   839   712   846 0.51 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1130at5820           -           1077   4.8e-25   86.1  38.5   4   6   2.7e-19   2.5e-16   57.3   0.1   595   744   957  1104   897  1110 0.74 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1130at5820           -           1077   4.8e-25   86.1  38.5   5   6   1.3e-08   1.2e-05   21.9   0.1   813   869  1239  1300  1195  1307 0.75 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1130at5820           -           1077   4.8e-25   86.1  38.5   6   6   4.7e-06    0.0043   13.4   0.1   876   905  1357  1386  1354  1409 0.82 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 1130at5820           -           1077   7.6e-23   78.8   3.8   1   4    0.0035       3.3    3.9   0.0   509   557   656   704   645   719 0.87 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 1130at5820           -           1077   7.6e-23   78.8   3.8   2   4    0.0054       4.9    3.3   0.0   650   747   737   836   722   842 0.80 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 1130at5820           -           1077   7.6e-23   78.8   3.8   3   4   9.4e-05     0.087    9.1   0.1   788   834   933   977   906   983 0.84 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722015.1         -           1256 1130at5820           -           1077   7.6e-23   78.8   3.8   4   4   4.3e-20   3.9e-17   59.9   0.1   843   910  1164  1230  1159  1240 0.89 | transcript=PVPAM_120025400_t1 | gene=PVPAM_120025400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:816239-820206(-) | protein_length=1256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1130at5820           -           1077   1.7e-17   61.1   4.4   1   4       1.2   1.1e+03   -4.5   0.4   918   972    31    81    17   102 0.72 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1130at5820           -           1077   1.7e-17   61.1   4.4   2   4     0.095        87   -0.8   0.0   656   715  1451  1507  1416  1511 0.75 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1130at5820           -           1077   1.7e-17   61.1   4.4   3   4   2.4e-20   2.2e-17   60.7   0.1   725   867  1633  1774  1625  1783 0.90 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723682.1         -           1872 1130at5820           -           1077   1.7e-17   61.1   4.4   4   4     0.085        78   -0.7   0.0   876   901  1826  1851  1824  1866 0.83 | transcript=PVPAM_140060600_t1 | gene=PVPAM_140060600 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000014:2408650-2414268(+) | protein_length=1872 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1130at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1130at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1130at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:01 2026
# [ok]
