#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718440.1         -            946 6510at5820           -            617  1.9e-258  858.0 102.7   1   5   7.1e-81   1.5e-77  260.4  30.4     2   215     6   247     5   254 0.88 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 6510at5820           -            617   5.3e-06   24.1  29.9   3   5   4.6e-05     0.099   10.0   4.9   215   284   492   569   480   576 0.74 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 6510at5820           -            617   5.3e-06   24.1  29.9   4   5         3   6.5e+03   -6.8   5.9   281   364   776   858   757   863 0.47 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 6510at5820           -            617   5.3e-06   24.1  29.9   5   5   2.4e-09   5.3e-06   24.1  29.9   382   587   951  1170   930  1187 0.72 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6510at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6510at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6510at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:17 2026
# [ok]
