#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721511.1         -           1598 2625at5820           -           1265         0 1645.8  25.7   1   1         0         0 1645.6  25.7     1  1265     1  1598     1  1598 0.75 | transcript=PVPAM_110041600_t1 | gene=PVPAM_110041600 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000011:1515882-1521690(+) | protein_length=1598 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 2625at5820           -           1265     0.013   11.9  22.2   1   1   7.1e-05     0.016   11.6  22.2   356   514    74   312     5   364 0.41 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722005.1         -            456 2625at5820           -           1265     0.016   11.7  11.6   1   1   6.7e-05     0.016   11.7  11.6   345   476    26   166     3   415 0.49 | transcript=PVPAM_120024400_t1 | gene=PVPAM_120024400 | organism=Plasmodium_vivax_PAM | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=CASCJQ010000012:788893-790263(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719007.1         -            294 2625at5820           -           1265     0.017   11.5  13.3   1   1   8.4e-05     0.019   11.3  13.3   378   470    55   165    22   245 0.38 | transcript=PVPAM_050039900_t1 | gene=PVPAM_050039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1474687-1475707(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721936.1         -            384 2625at5820           -           1265     0.059    9.7  31.6   1   1   0.00033     0.076    9.4  31.6   371   494    39   236     6   253 0.43 | transcript=PVPAM_120017000_t1 | gene=PVPAM_120017000 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=CASCJQ010000012:534291-535668(+) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723178.1         -            382 2625at5820           -           1265     0.075    9.4  35.8   1   1   0.00044       0.1    9.0  35.8   369   583    70   316     5   380 0.30 | transcript=PVPAM_140009700_t1 | gene=PVPAM_140009700 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000014:216335-217820(+) | protein_length=382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718166.1         -            510 2625at5820           -           1265     0.083    9.3   2.8   1   1    0.0004     0.092    9.1   2.8   374   512   124   313    79   485 0.52 | transcript=PVPAM_030016600_t1 | gene=PVPAM_030016600 | organism=Plasmodium_vivax_PAM | gene_product=PDCD2 domain-containing protein, putative | transcript_product=PDCD2 domain-containing protein, putative | location=CASCJQ010000003:497096-498628(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720548.1         -            318 2625at5820           -           1265     0.094    9.1  39.7   1   1   0.00053      0.12    8.7  39.7   327   552    25   279    13   312 0.31 | transcript=PVPAM_090031400_t1 | gene=PVPAM_090031400 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=CASCJQ010000009:1198966-1200328(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718942.1         -           1276 2625at5820           -           1265      0.13    8.6  54.1   1   2    0.0069       1.6    5.0  21.3   394   581   249   469   179   540 0.32 | transcript=PVPAM_050033400_t1 | gene=PVPAM_050033400 | organism=Plasmodium_vivax_PAM | gene_product=histone acetyltransferase, putative | transcript_product=histone acetyltransferase, putative | location=CASCJQ010000005:1164819-1169003(+) | protein_length=1276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718942.1         -           1276 2625at5820           -           1265      0.13    8.6  54.1   2   2   0.00031     0.072    9.5  24.8   371   697   776  1252   676  1271 0.44 | transcript=PVPAM_050033400_t1 | gene=PVPAM_050033400 | organism=Plasmodium_vivax_PAM | gene_product=histone acetyltransferase, putative | transcript_product=histone acetyltransferase, putative | location=CASCJQ010000005:1164819-1169003(+) | protein_length=1276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719810.1         -            266 2625at5820           -           1265      0.27    7.5  15.2   1   1    0.0012      0.28    7.5  15.2   383   510    87   240     3   264 0.42 | transcript=PVPAM_070042400_t1 | gene=PVPAM_070042400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB58] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB58] | location=CASCJQ010000007:1537597-1538649(-) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721849.1         -            936 2625at5820           -           1265       0.3    7.4  24.8   1   1    0.0017       0.4    7.0  24.8   394   567   374   579   265   663 0.37 | transcript=PVPAM_120008300_t1 | gene=PVPAM_120008300 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol transfer protein, putative | transcript_product=phosphatidylinositol transfer protein, putative | location=CASCJQ010000012:140514-143324(-) | protein_length=936 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722006.1         -            411 2625at5820           -           1265      0.33    7.3  19.1   1   1    0.0017      0.38    7.0  19.1   338   503    28   253     8   345 0.37 | transcript=PVPAM_120024500_t1 | gene=PVPAM_120024500 | organism=Plasmodium_vivax_PAM | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=CASCJQ010000012:791278-792513(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720038.1         -            453 2625at5820           -           1265      0.38    7.0  55.1   1   1     0.002      0.47    6.8  55.1   379   606    68   351    15   420 0.29 | transcript=PVPAM_080026000_t1 | gene=PVPAM_080026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:955282-957604(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718444.1         -            658 2625at5820           -           1265      0.82    6.0  16.6   1   1    0.0048       1.1    5.5  16.6   403   646    58   324    28   357 0.21 | transcript=PVPAM_040019000_t1 | gene=PVPAM_040019000 | organism=Plasmodium_vivax_PAM | gene_product=sugar transporter, putative | transcript_product=sugar transporter, putative | location=CASCJQ010000004:600743-602719(-) | protein_length=658 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719224.1         -           1763 2625at5820           -           1265      0.87    5.9   8.3   1   1    0.0054       1.2    5.4   8.3   371   430  1222  1295  1104  1367 0.52 | transcript=PVPAM_060023100_t1 | gene=PVPAM_060023100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:779641-784932(-) | protein_length=1763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721103.1         -            298 2625at5820           -           1265       1.2    5.4  40.1   1   1    0.0061       1.4    5.2  40.1   344   509    37   233     9   289 0.27 | transcript=PVPAM_100037100_t1 | gene=PVPAM_100037100 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:1381957-1382853(-) | protein_length=298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722132.1         -            392 2625at5820           -           1265       1.4    5.2  36.8   1   1    0.0069       1.6    5.0  36.8   410   599   103   348    36   386 0.31 | transcript=PVPAM_120037000_t1 | gene=PVPAM_120037000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1256137-1257725(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721488.1         -            145 2625at5820           -           1265       1.9    4.8   8.9   1   1    0.0087         2    4.7   8.9   370   417    12    53     2    94 0.41 | transcript=PVPAM_110039300_t1 | gene=PVPAM_110039300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:1430926-1431363(+) | protein_length=145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719968.1         -            525 2625at5820           -           1265       1.9    4.8  23.7   1   1    0.0097       2.2    4.5  23.7   396   509   398   512   333   525 0.46 | transcript=PVPAM_080019000_t1 | gene=PVPAM_080019000 | organism=Plasmodium_vivax_PAM | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=CASCJQ010000008:650867-653155(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718837.1         -            542 2625at5820           -           1265       2.2    4.6  32.0   1   1     0.012       2.8    4.2  32.0   357   566   238   500   184   539 0.29 | transcript=PVPAM_050023100_t1 | gene=PVPAM_050023100 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:786801-788575(-) | protein_length=542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721050.1         -            277 2625at5820           -           1265       2.9    4.1  18.1   1   1     0.015       3.5    3.9  18.1   409   572    50   257    19   276 0.27 | transcript=PVPAM_100031800_t1 | gene=PVPAM_100031800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:1167488-1168321(-) | protein_length=277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721990.1         -            386 2625at5820           -           1265       8.6    2.6  55.0   1   1     0.049        11    2.2  55.0   377   609    27   316     3   373 0.25 | transcript=PVPAM_120022900_t1 | gene=PVPAM_120022900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:743059-744991(-) | protein_length=386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2625at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2625at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2625at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:05 2026
# [ok]
