#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718964.1         -           1809 1976at5820           -           1181         0 1655.9   5.8   1   2  1.9e-122  7.9e-120  400.2   0.0    11   336    54   632    45   645 0.87 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 1976at5820           -           1181   3.9e-07   26.9  16.7   6   7     0.025       9.9    2.4   0.0   363   386   881   904   867   915 0.87 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 1976at5820           -           1181   3.9e-07   26.9  16.7   7   7      0.12        49    0.1   0.0   362   429   924   989   917   997 0.76 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 1976at5820           -           1181   8.7e-06   22.4   1.9   1   5     0.075        30    0.8   0.2   305   319    58    72    39    80 0.81 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 1976at5820           -           1181   8.7e-06   22.4   1.9   2   5   0.00033      0.13    8.6   0.1   360   400    86   126    80   135 0.89 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 1976at5820           -           1181   8.7e-06   22.4   1.9   3   5     0.014       5.6    3.2   0.0   542   561   139   158   127   191 0.68 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 1976at5820           -           1181   8.7e-06   22.4   1.9   4   5   0.00039      0.16    8.3   0.7   359   402   285   331   277   338 0.63 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 1976at5820           -           1181   8.7e-06   22.4   1.9   5   5   2.2e-08   8.7e-06   22.4   1.9   526   584   325   389   323   424 0.70 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 1976at5820           -           1181    0.0001   18.9  16.9   1   6      0.22        90   -0.8   0.2   362   397    73   108    69   119 0.89 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 1976at5820           -           1181    0.0001   18.9  16.9   2   6   1.7e-06    0.0007   16.1   0.6   542   604   124   186   117   191 0.81 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 1976at5820           -           1181    0.0001   18.9  16.9   3   6      0.39   1.6e+02   -1.6   0.1   449   464   211   228   190   233 0.75 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 1976at5820           -           1181    0.0001   18.9  16.9   4   6     0.024       9.7    2.4   0.2   731   745   245   259   230   263 0.86 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 1976at5820           -           1181    0.0001   18.9  16.9   5   6    0.0019      0.76    6.1   0.1   363   396   308   341   297   392 0.79 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 1976at5820           -           1181    0.0001   18.9  16.9   6   6     0.019       7.7    2.8   0.1   543   568   362   387   343   405 0.65 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 1976at5820           -           1181    0.0002   17.9   2.8   1   6    0.0026       1.1    5.6   0.2   537   574    63    97    43   103 0.78 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 1976at5820           -           1181    0.0002   17.9   2.8   2   6   0.00094      0.38    7.1   6.4   238   314   117   196   100   203 0.75 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 1976at5820           -           1181    0.0002   17.9   2.8   3   6   9.8e-06    0.0039   13.7   0.1   497   566   316   385   295   394 0.77 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 1976at5820           -           1181    0.0002   17.9   2.8   4   6   1.5e-05    0.0063   13.0   0.3   357   397   356   396   325   428 0.69 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 1976at5820           -           1181    0.0002   17.9   2.8   5   6      0.23        94   -0.9   0.3    18    81   422   488   408   498 0.62 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 1976at5820           -           1181    0.0002   17.9   2.8   6   6    0.0019      0.77    6.1   1.6   535   597   500   566   491   580 0.78 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 1976at5820           -           1181    0.0074   12.7  27.0   1   4   3.6e-05     0.015   11.8   0.0   363   397    41    75    37    82 0.88 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 1976at5820           -           1181    0.0074   12.7  27.0   2   4    0.0046       1.9    4.8   4.3   357   592    92   346    87   358 0.44 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 1976at5820           -           1181    0.0074   12.7  27.0   3   4    0.0075         3    4.1   1.0   354   386   340   373   335   377 0.86 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 1976at5820           -           1181    0.0074   12.7  27.0   4   4      0.27   1.1e+02   -1.0   7.8   866  1084   377   621   375   635 0.53 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722718.1         -            360 1976at5820           -           1181    0.0092   12.4  19.3   1   1   3.6e-05     0.014   11.8  19.3   929  1104    70   264    20   284 0.46 | transcript=PVPAM_130021900_t1 | gene=PVPAM_130021900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:763412-764644(+) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723426.1         -            318 1976at5820           -           1181      0.15    8.4  22.8   1   1   0.00044      0.18    8.2  22.8   951  1090   114   247    42   310 0.37 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722955.1         -            228 1976at5820           -           1181      0.34    7.2  22.9   1   1     0.001      0.41    7.0  22.9   971  1103    43   180     4   192 0.49 | transcript=PVPAM_130046100_t1 | gene=PVPAM_130046100 | organism=Plasmodium_vivax_PAM | gene_product=DEK-C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3H4] | transcript_product=DEK-C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3H4] | location=CASCJQ010000013:1773281-1774836(-) | protein_length=228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719968.1         -            525 1976at5820           -           1181      0.81    6.0  13.4   1   1    0.0024      0.97    5.7  13.4   951  1073   398   521   313   525 0.53 | transcript=PVPAM_080019000_t1 | gene=PVPAM_080019000 | organism=Plasmodium_vivax_PAM | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=CASCJQ010000008:650867-653155(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718974.1         -            298 1976at5820           -           1181       0.9    5.8  43.0   1   1    0.0029       1.2    5.5  43.0   914  1076   117   291    63   298 0.35 | transcript=PVPAM_050036600_t1 | gene=PVPAM_050036600 | organism=Plasmodium_vivax_PAM | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=CASCJQ010000005:1316265-1317533(+) | protein_length=298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719309.1         -            437 1976at5820           -           1181      0.91    5.8  18.4   1   1    0.0031       1.3    5.4  18.4   957  1078   250   377   211   416 0.44 | transcript=PVPAM_060031600_t1 | gene=PVPAM_060031600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:1083235-1084548(+) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722520.1         -            369 1976at5820           -           1181       1.4    5.2  12.0   1   1    0.0046       1.9    4.8  12.0   964  1064   251   346   214   358 0.42 | transcript=PVPAM_120075900_t1 | gene=PVPAM_120075900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2974231-2975447(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720548.1         -            318 1976at5820           -           1181       2.1    4.6  17.6   1   1    0.0059       2.4    4.4  17.6   928  1113    85   274    18   302 0.37 | transcript=PVPAM_090031400_t1 | gene=PVPAM_090031400 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=CASCJQ010000009:1198966-1200328(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718579.1         -            376 1976at5820           -           1181       2.6    4.3  27.4   1   1     0.011       4.6    3.5  27.4   822  1056    87   320    71   369 0.28 | transcript=PVPAM_040032300_t1 | gene=PVPAM_040032300 | organism=Plasmodium_vivax_PAM | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=CASCJQ010000004:1130504-1131876(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1976at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1976at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1976at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:34 2026
# [ok]
