#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719969.1         -            609 5653at5820           -            431  5.9e-227  752.4  55.1   1   4   7.5e-26   4.4e-23   80.7   2.2     1    66     5    77     5    80 0.92 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721360.1         -            519 5653at5820           -            431    0.0095   13.7   5.9   1   1   2.3e-05     0.013   13.2   5.9   369   429   348   405   324   407 0.69 | transcript=PVPAM_110026300_t1 | gene=PVPAM_110026300 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=CASCJQ010000011:934966-936525(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 5653at5820           -            431     0.028   12.1   0.1   1   1   7.6e-05     0.045   11.4   0.1   227   303   115   190   110   196 0.84 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 5653at5820           -            431       2.1    6.0   7.1   1   2      0.17     1e+02    0.4   0.2   366   400    13    46     2    53 0.69 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 5653at5820           -            431       2.1    6.0   7.1   2   2     0.001      0.61    7.7   3.0   392   423    62    95    45   100 0.83 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5653at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5653at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5653at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:44 2026
# [ok]
