#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720991.1         -           1077 3175at5820           -            591  4.6e-234  777.0  10.2   1   6   1.9e-08     2e-05   22.0   0.0    24    60   159   198   154   206 0.86 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 3175at5820           -            591   1.7e-10   38.8   0.8   3   4     0.062        66    0.5   0.0   460   509   626   674   612   693 0.70 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 3175at5820           -            591   1.7e-10   38.8   0.8   4   4   0.00015      0.17    9.1   0.0   555   590   698   733   677   734 0.87 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 3175at5820           -            591   6.7e-10   36.8   2.7   1   3   0.00018      0.19    8.9   1.3   249   335   330   410   318   447 0.58 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 3175at5820           -            591   6.7e-10   36.8   2.7   2   3   0.00027      0.29    8.3   0.0   467   526   472   531   452   539 0.78 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 3175at5820           -            591   6.7e-10   36.8   2.7   3   3   4.8e-07   0.00052   17.4   0.0   557   590   540   573   526   574 0.85 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 3175at5820           -            591   2.8e-09   34.8   5.6   1   2   5.8e-09   6.3e-06   23.7   5.5   196   314   309   425   281   501 0.80 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 3175at5820           -            591   2.8e-09   34.8   5.6   2   2   0.00019      0.21    8.8   0.0   547   589   625   668   612   669 0.81 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721858.1         -            585 3175at5820           -            591   1.2e-07   29.3   0.1   1   2   2.9e-07   0.00031   18.1   0.1   192   313   253   371   231   381 0.82 | transcript=PVPAM_120009200_t1 | gene=PVPAM_120009200 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000012:172890-174856(+) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721858.1         -            585 3175at5820           -            591   1.2e-07   29.3   0.1   2   2   0.00017      0.18    8.9   0.0   555   590   541   576   533   577 0.92 | transcript=PVPAM_120009200_t1 | gene=PVPAM_120009200 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000012:172890-174856(+) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3175at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:59 2026
# [ok]
