#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718997.1         -            388 4306at5820           -            703   5.7e-44  149.0   4.0   1   2   5.8e-26   1.1e-23   82.0   0.2    14   225     8   206     2   224 0.85 | transcript=PVPAM_050038900_t1 | gene=PVPAM_050038900 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=CASCJQ010000005:1445941-1447107(+) | protein_length=388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723453.1         -            938 4306at5820           -            703     3e-30  103.6   4.5   2   2   3.1e-15   5.8e-13   46.5   2.1   317   438   624   745   609   753 0.87 | transcript=PVPAM_140037500_t1 | gene=PVPAM_140037500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=CASCJQ010000014:1392118-1394934(-) | protein_length=938 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 4306at5820           -            703   7.3e-30  102.4   7.8   1   2   5.8e-20   1.1e-17   62.1   0.9    18   227   369   563   348   598 0.78 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722294.1         -            787 4306at5820           -            703   7.3e-30  102.4   7.8   2   2   9.8e-14   1.8e-11   41.6   0.8   368   436   665   752   610   762 0.83 | transcript=PVPAM_120053100_t1 | gene=PVPAM_120053100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=CASCJQ010000012:1934145-1936508(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 4306at5820           -            703   1.5e-29  101.3   0.1   1   2   1.7e-16   3.1e-14   50.7   0.0    21   228   218   425   215   467 0.84 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 4306at5820           -            703   1.5e-29  101.3   0.1   2   2   6.5e-16   1.2e-13   48.8   0.1   333   436   471   574   422   582 0.78 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723238.1         -            626 4306at5820           -            703   7.8e-29   99.0  13.0   1   2   9.9e-21   1.8e-18   64.7   7.4    43   255   169   377   142   390 0.77 | transcript=PVPAM_140015700_t1 | gene=PVPAM_140015700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=CASCJQ010000014:498695-500575(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723238.1         -            626 4306at5820           -            703   7.8e-29   99.0  13.0   2   2     2e-12   3.7e-10   37.2   0.1   354   455   426   526   419   542 0.86 | transcript=PVPAM_140015700_t1 | gene=PVPAM_140015700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=CASCJQ010000014:498695-500575(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721049.1         -           1475 4306at5820           -            703     1e-28   98.5   2.5   1   2   9.8e-19   1.8e-16   58.1   0.1    21   248   675   896   662   914 0.84 | transcript=PVPAM_100031700_t1 | gene=PVPAM_100031700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=CASCJQ010000010:1161244-1165671(-) | protein_length=1475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721049.1         -           1475 4306at5820           -            703     1e-28   98.5   2.5   2   2   3.3e-13   6.2e-11   39.8   0.5   322   431   912  1022   892  1061 0.86 | transcript=PVPAM_100031700_t1 | gene=PVPAM_100031700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=CASCJQ010000010:1161244-1165671(-) | protein_length=1475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721092.1         -            720 4306at5820           -            703     3e-27   93.7   2.3   1   3    0.0045      0.83    6.3   0.0    27    85   132   190   117   196 0.87 | transcript=PVPAM_100036000_t1 | gene=PVPAM_100036000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=CASCJQ010000010:1338723-1340885(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721092.1         -            720 4306at5820           -            703     3e-27   93.7   2.3   2   3   5.6e-14     1e-11   42.4   1.1    96   235   228   353   225   418 0.75 | transcript=PVPAM_100036000_t1 | gene=PVPAM_100036000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=CASCJQ010000010:1338723-1340885(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721092.1         -            720 4306at5820           -            703     3e-27   93.7   2.3   3   3   8.6e-14   1.6e-11   41.7   0.0   365   439   433   507   424   517 0.91 | transcript=PVPAM_100036000_t1 | gene=PVPAM_100036000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=CASCJQ010000010:1338723-1340885(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723851.1         -            737 4306at5820           -            703   4.6e-27   93.1  16.4   1   2   1.7e-18   3.1e-16   57.3   3.1    19   279   102   375    93   378 0.76 | transcript=PVPAM_140077400_t1 | gene=PVPAM_140077400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=CASCJQ010000014:3037650-3039863(+) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723851.1         -            737 4306at5820           -            703   4.6e-27   93.1  16.4   2   2   6.8e-15   1.3e-12   45.4   3.0   315   431   363   479   351   488 0.91 | transcript=PVPAM_140077400_t1 | gene=PVPAM_140077400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=CASCJQ010000014:3037650-3039863(+) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723752.1         -            862 4306at5820           -            703     1e-25   88.7   9.1   1   2   6.1e-21   1.1e-18   65.4   2.1    35   225   118   307    92   324 0.81 | transcript=PVPAM_140067500_t1 | gene=PVPAM_140067500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=CASCJQ010000014:2696273-2698861(-) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723752.1         -            862 4306at5820           -            703     1e-25   88.7   9.1   2   2     2e-09   3.7e-07   27.3   0.2   392   437   528   573   524   577 0.92 | transcript=PVPAM_140067500_t1 | gene=PVPAM_140067500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=CASCJQ010000014:2696273-2698861(-) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 4306at5820           -            703   5.3e-25   86.3  31.9   1   3   8.7e-05     0.016   12.0   0.0    18    85    45   112    30   120 0.90 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 4306at5820           -            703   5.3e-25   86.3  31.9   2   3   8.1e-07   0.00015   18.7   1.9    86   218   234   385   226   396 0.70 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 4306at5820           -            703   5.3e-25   86.3  31.9   3   3   9.8e-22   1.8e-19   68.0   9.4   349   457   547   657   542   666 0.88 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
