#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723610.1         -           2038 882at5820            -           1269         0 2420.5 144.4   1   7   1.7e-56   3.8e-53  179.0  11.6     1   116   118   234   118   249 0.90 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 882at5820            -           1269   6.2e-40  135.2  94.9   5   6   1.3e-11   2.9e-08   30.3   5.4   950  1034  1200  1282  1194  1341 0.79 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 882at5820            -           1269   6.2e-40  135.2  94.9   6   6   4.6e-06    0.0099   12.0  10.8  1119  1268  1533  1667  1499  1668 0.80 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 882at5820            -           1269   4.7e-13   46.2  78.4   1   4   1.6e-13   3.4e-10   36.7  39.0   260   532   115   409    67   430 0.72 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 882at5820            -           1269   4.7e-13   46.2  78.4   2   4   0.00026      0.56    6.2   3.9   701   754   502   554   428   564 0.78 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 882at5820            -           1269   4.7e-13   46.2  78.4   3   4   2.4e-09   5.1e-06   22.9   7.9   946  1065  1185  1298  1170  1308 0.77 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 882at5820            -           1269   4.7e-13   46.2  78.4   4   4      0.75   1.6e+03   -5.3  10.0  1077  1178  1268  1377  1265  1448 0.71 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/882at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/882at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/882at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:47 2026
# [ok]
