#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723281.1         -            420 6354at5820           -            285    8e-200  660.5   2.4   1   1  3.4e-202  9.7e-200  660.2   2.4     1   285     8   295     8   295 0.99 | transcript=PVPAM_140020000_t1 | gene=PVPAM_140020000 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=CASCJQ010000014:667717-669210(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 6354at5820           -            285   6.9e-30  102.9   0.1   2   2   3.1e-29   8.8e-27   92.7   0.1   134   273   555   696   531   705 0.87 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 6354at5820           -            285   6.7e-27   93.1   0.0   1   1   4.1e-29   1.1e-26   92.3   0.0   149   285   158   295   151   295 0.91 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720479.1         -            950 6354at5820           -            285   7.4e-25   86.4   0.0   1   1   4.1e-27   1.1e-24   85.8   0.0   145   285   395   536   383   536 0.93 | transcript=PVPAM_090024400_t1 | gene=PVPAM_090024400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000009:885031-887883(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722309.1         -            442 6354at5820           -            285   1.1e-24   85.8   0.0   1   1   6.1e-27   1.7e-24   85.2   0.0   144   272   110   237    99   249 0.90 | transcript=PVPAM_120054600_t1 | gene=PVPAM_120054600 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=CASCJQ010000012:1997081-1998409(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718122.1         -            700 6354at5820           -            285   3.2e-19   67.9   0.0   1   1   1.7e-21   4.9e-19   67.3   0.0   142   281   414   552   387   556 0.87 | transcript=PVPAM_030011800_t1 | gene=PVPAM_030011800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000003:322999-325101(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 6354at5820           -            285   1.4e-17   62.5   0.0   1   2   6.3e-17   1.8e-14   52.3   0.0   179   279   282   391   246   397 0.76 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 6354at5820           -            285   1.4e-17   62.5   0.0   2   2    0.0024      0.68    7.8   0.0   188   227   572   611   539   646 0.75 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 6354at5820           -            285   3.5e-15   54.6   0.0   1   1     2e-17   5.5e-15   54.0   0.0   188   283   597   693   586   699 0.85 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717764.1         -           1000 6354at5820           -            285   2.5e-08   32.1   0.0   1   1   1.7e-10   4.7e-08   31.3   0.0   184   271   756   844   751   858 0.90 | transcript=PVPAM_010027800_t1 | gene=PVPAM_010027800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1005291-1008466(+) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 6354at5820           -            285     4e-08   31.5   0.0   1   2       3.1   8.8e+02   -2.5   0.0   229   249    35    55    31    60 0.86 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 6354at5820           -            285     4e-08   31.5   0.0   2   2   5.1e-10   1.4e-07   29.7   0.0   187   271   344   430   339   440 0.80 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 6354at5820           -            285   9.5e-05   20.4   0.0   1   1   5.3e-07   0.00015   19.8   0.0   178   261   337   437   315   462 0.61 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723066.1         -           1226 6354at5820           -            285   0.00017   19.6   0.0   1   2   0.00041      0.11   10.3   0.0   224   264   559   599   505   612 0.81 | transcript=PVPAM_130057200_t1 | gene=PVPAM_130057200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=CASCJQ010000013:2311930-2315610(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723066.1         -           1226 6354at5820           -            285   0.00017   19.6   0.0   2   2    0.0063       1.8    6.4   0.0   179   226   858   910   797   954 0.64 | transcript=PVPAM_130057200_t1 | gene=PVPAM_130057200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=CASCJQ010000013:2311930-2315610(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719514.1         -            824 6354at5820           -            285   0.00026   19.0   0.1   1   2   1.2e-05    0.0032   15.4   0.0   185   242   432   491   403   505 0.75 | transcript=PVPAM_070012800_t1 | gene=PVPAM_070012800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease ATPase subunit ClpY, putative | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative | location=CASCJQ010000007:426432-428906(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719514.1         -            824 6354at5820           -            285   0.00026   19.0   0.1   2   2      0.35        98    0.7   0.0   245   277   628   663   611   669 0.66 | transcript=PVPAM_070012800_t1 | gene=PVPAM_070012800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease ATPase subunit ClpY, putative | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative | location=CASCJQ010000007:426432-428906(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722254.1         -            742 6354at5820           -            285    0.0025   15.7   0.0   1   2         2   5.7e+02   -1.8   0.0   177   200   514   537   508   547 0.84 | transcript=PVPAM_120049100_t1 | gene=PVPAM_120049100 | organism=Plasmodium_vivax_PAM | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=CASCJQ010000012:1785516-1787744(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722254.1         -            742 6354at5820           -            285    0.0025   15.7   0.0   2   2   4.1e-05     0.012   13.6   0.0   212   256   629   673   620   689 0.84 | transcript=PVPAM_120049100_t1 | gene=PVPAM_120049100 | organism=Plasmodium_vivax_PAM | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=CASCJQ010000012:1785516-1787744(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6354at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6354at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6354at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:04 2026
# [ok]
