#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721595.1         -           1843 592at5820            -           1360         0 2632.7 101.4   1   5         0         0 2165.7  58.8     1  1053     1  1126     1  1130 0.95 | transcript=PVPAM_110049900_t2 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723773.1         -           1843 592at5820            -           1360   1.1e-17   61.5  20.6   2   6      0.34   7.2e+02   -4.1   5.2  1090  1150   298   361   278   392 0.72 | transcript=PVPAM_140069600_t1 | gene=PVPAM_140069600 | organism=Plasmodium_vivax_PAM | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=CASCJQ010000014:2752994-2759251(-) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723773.1         -           1843 592at5820            -           1360   1.1e-17   61.5  20.6   3   6   8.7e-18   1.9e-14   50.8  11.9   428   806   567   938   497   978 0.73 | transcript=PVPAM_140069600_t1 | gene=PVPAM_140069600 | organism=Plasmodium_vivax_PAM | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=CASCJQ010000014:2752994-2759251(-) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723773.1         -           1843 592at5820            -           1360   1.1e-17   61.5  20.6   4   6   2.8e-10   5.9e-07   26.0   1.4   928  1033   988  1096   983  1106 0.91 | transcript=PVPAM_140069600_t1 | gene=PVPAM_140069600 | organism=Plasmodium_vivax_PAM | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=CASCJQ010000014:2752994-2759251(-) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723773.1         -           1843 592at5820            -           1360   1.1e-17   61.5  20.6   5   6    0.0018       3.9    3.4   0.0  1269  1353  1124  1205  1112  1213 0.65 | transcript=PVPAM_140069600_t1 | gene=PVPAM_140069600 | organism=Plasmodium_vivax_PAM | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=CASCJQ010000014:2752994-2759251(-) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723773.1         -           1843 592at5820            -           1360   1.1e-17   61.5  20.6   6   6         3   6.5e+03  -25.2  31.7    13   115  1521  1623  1451  1665 0.70 | transcript=PVPAM_140069600_t1 | gene=PVPAM_140069600 | organism=Plasmodium_vivax_PAM | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=CASCJQ010000014:2752994-2759251(-) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/592at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/592at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/592at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:11 2026
# [ok]
