#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721055.1         -           1569 1444at5820           -           1093         0 1884.6  58.1   1   6   2.1e-47   1.5e-44  150.8   0.3     1   107    32   141    32   145 0.95 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 1444at5820           -           1093   5.9e-09   32.9   2.0   1   2   1.1e-07   7.9e-05   19.3   0.1   852   908  1082  1138  1063  1150 0.90 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 1444at5820           -           1093   5.9e-09   32.9   2.0   2   2     1e-05    0.0075   12.7   0.2   884   942  1157  1218  1142  1246 0.71 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720473.1         -            366 1444at5820           -           1093   6.4e-09   32.8   0.1   1   1   1.2e-11     9e-09   32.4   0.1   853   914   289   352   252   360 0.88 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 1444at5820           -           1093     4e-08   30.2   0.0   1   2     1e-08   7.3e-06   22.7   0.0   847   943    90   188    65   191 0.88 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 1444at5820           -           1093     4e-08   30.2   0.0   2   2     6e-06    0.0043   13.5   0.0   848   902   155   211   148   217 0.88 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 1444at5820           -           1093   2.3e-06   24.4   0.4   1   1   4.2e-09   3.1e-06   24.0   0.4   835   966    30   167     6   180 0.81 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719540.1         -           1072 1444at5820           -           1093   1.1e-05   22.1   3.8   1   1     3e-08   2.1e-05   21.2   3.8   312   412   562   659   540   662 0.85 | transcript=PVPAM_070015400_t1 | gene=PVPAM_070015400 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=CASCJQ010000007:529724-532942(-) | protein_length=1072 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1444at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1444at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1444at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:30 2026
# [ok]
