#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723629.1         -           2007 760at5820            -           1541         0 2511.5  45.0   1   4   2.1e-22     2e-19   67.2   0.0     8    75    11    79     3    86 0.88 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 760at5820            -           1541   2.1e-07   27.3  10.0   2   4     0.011        10    1.8   0.1  1010  1061   289   340   272   350 0.82 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 760at5820            -           1541   2.1e-07   27.3  10.0   3   4   7.3e-10   6.8e-07   25.6   0.5  1289  1365   613   689   604   743 0.86 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 760at5820            -           1541   2.1e-07   27.3  10.0   4   4     0.025        23    0.7   0.0   616   638   812   834   789   870 0.80 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 760at5820            -           1541   2.9e-06   23.5   0.2   1   4       2.4   2.2e+03   -5.9   5.9   243   386   250   388   200   419 0.60 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 760at5820            -           1541   2.9e-06   23.5   0.2   2   4   3.1e-09   2.9e-06   23.5   0.2  1282  1358   491   567   479   582 0.73 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 760at5820            -           1541   2.9e-06   23.5   0.2   3   4     0.075        70   -0.9   0.0   618   636   710   728   690   741 0.87 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 760at5820            -           1541   2.9e-06   23.5   0.2   4   4     0.018        17    1.1   1.3  1476  1528   747   799   718   810 0.83 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 760at5820            -           1541   0.00033   16.7  37.0   1   4      0.13   1.2e+02   -1.7   1.4    75   137    53   115    26   253 0.81 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 760at5820            -           1541   0.00033   16.7  37.0   2   4     5e-05     0.047    9.6  28.8   945  1387   365   803   357   813 0.62 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 760at5820            -           1541   0.00033   16.7  37.0   3   4     0.052        48   -0.4   0.0   575   636   782   845   778   847 0.75 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 760at5820            -           1541   0.00033   16.7  37.0   4   4   3.4e-05     0.032   10.1   0.0  1480  1524   868   912   854   929 0.86 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722997.1         -            351 760at5820            -           1541   0.00067   15.7   1.1   1   2   8.5e-07   0.00079   15.5   0.1  1289  1349   116   178    96   186 0.87 | transcript=PVPAM_130050300_t1 | gene=PVPAM_130050300 | organism=Plasmodium_vivax_PAM | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=CASCJQ010000013:1999133-2000188(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722997.1         -            351 760at5820            -           1541   0.00067   15.7   1.1   2   2      0.29   2.7e+02   -2.9   0.1  1481  1524   288   334   279   341 0.69 | transcript=PVPAM_130050300_t1 | gene=PVPAM_130050300 | organism=Plasmodium_vivax_PAM | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=CASCJQ010000013:1999133-2000188(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/760at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/760at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/760at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:18 2026
# [ok]
