#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718186.1         -           2536 181at5820            -           2145         0 3919.0 183.3   1   1         0         0 3916.9 183.3     1  2145    74  2491    74  2491 0.92 | transcript=PVPAM_030018600_t1 | gene=PVPAM_030018600 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=CASCJQ010000003:600802-609492(-) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 181at5820            -           2145   3.2e-53  178.6 178.4   6   7   5.6e-12   1.2e-08   30.8  31.6  1560  1800  2485  2727  2468  2749 0.78 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 181at5820            -           2145   3.2e-53  178.6 178.4   7   7         3   6.5e+03   -9.9   6.1  2010  2061  3126  3178  3121  3251 0.49 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/181at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/181at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/181at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:53 2026
# [ok]
