#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718835.1         -            690 3994at5820           -            641         0 1477.0  29.4   1   2         0         0 1469.5   6.3     1   634     8   657     8   657 0.99 | transcript=PVPAM_050022900_t1 | gene=PVPAM_050022900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000005:771409-773481(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719658.1         -            606 3994at5820           -            641     5e-06   23.3   2.2   2   2      0.79   5.7e+02   -3.3   7.3   602   630   256   283   247   290 0.69 | transcript=PVPAM_070027200_t1 | gene=PVPAM_070027200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:976846-979137(-) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720857.1         -            463 3994at5820           -            641    0.0002   18.1  17.6   1   3   2.7e-07    0.0002   18.1  17.6   536   634   232   331   211   331 0.54 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720857.1         -            463 3994at5820           -            641    0.0002   18.1  17.6   2   3         9   6.5e+03  -23.0  56.6   617   634   338   355   318   377 0.54 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720857.1         -            463 3994at5820           -            641    0.0002   18.1  17.6   3   3    0.0095       6.8    3.1  24.7   607   632   375   400   372   409 0.63 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718576.1         -            785 3994at5820           -            641    0.0037   13.9   0.1   1   1   1.1e-05    0.0082   12.7   0.1   580   628   566   617   522   623 0.65 | transcript=PVPAM_040032000_t1 | gene=PVPAM_040032000 | organism=Plasmodium_vivax_PAM | gene_product=condensin-2 complex subunit H2, putative | transcript_product=condensin-2 complex subunit H2, putative | location=CASCJQ010000004:1118446-1120928(-) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718994.1         -             83 3994at5820           -            641    0.0089   12.6   4.1   1   1   1.3e-05    0.0094   12.5   4.1   601   631    30    58     8    65 0.55 | transcript=PVPAM_050038600_t1 | gene=PVPAM_050038600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000005:1433882-1434133(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3994at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3994at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3994at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:49 2026
# [ok]
