#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721838.1         -            466 7562at5820           -            393  3.2e-176  584.5  31.3   1   1  7.4e-178  1.8e-175  582.0  31.3     1   393     1   466     1   466 0.90 | transcript=PVPAM_120007200_t1 | gene=PVPAM_120007200 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=CASCJQ010000012:93955-96793(-) | protein_length=466 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 7562at5820           -            393   1.5e-14   52.2   4.6   1   5      0.35        83    0.4   0.0   116   135    32    51    17    57 0.85 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 7562at5820           -            393   1.5e-14   52.2   4.6   2   5     0.001      0.25    8.7   0.0   100   136    65   101    59   105 0.91 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 7562at5820           -            393   1.5e-14   52.2   4.6   3   5   8.3e-11     2e-08   32.0   0.1    94   175   101   189    99   193 0.84 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 7562at5820           -            393   1.5e-14   52.2   4.6   4   5   0.00046      0.11    9.8   0.1    99   181   193   277   189   286 0.85 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 7562at5820           -            393   1.5e-14   52.2   4.6   5   5      0.58   1.4e+02   -0.4   0.0   159   175   303   319   292   321 0.80 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 7562at5820           -            393   3.1e-13   47.9  26.0   1   3   2.4e-10   5.7e-08   30.5   0.6    58   174   348   470   343   477 0.89 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 7562at5820           -            393   3.1e-13   47.9  26.0   2   3   2.2e-08   5.4e-06   24.0   0.0   100   145   476   521   469   525 0.91 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 7562at5820           -            393   3.1e-13   47.9  26.0   3   3   0.00086       0.2    8.9   2.5   102   186   520   613   518   626 0.73 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 7562at5820           -            393   3.5e-13   47.7  26.1   1   3   2.4e-10   5.8e-08   30.5   0.6    58   174   357   479   352   485 0.89 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 7562at5820           -            393   3.5e-13   47.7  26.1   2   3   1.4e-08   3.2e-06   24.7   0.0    97   146   482   531   473   535 0.87 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 7562at5820           -            393   3.5e-13   47.7  26.1   3   3   0.00092      0.22    8.8   2.2   102   186   529   622   528   635 0.72 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 7562at5820           -            393   5.1e-09   34.0  12.1   1   4     0.012       2.8    5.2   0.6   102   142    33    72    24   112 0.62 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 7562at5820           -            393   5.1e-09   34.0  12.1   2   4   3.8e-05    0.0091   13.4   1.2    98   147   114   162   109   193 0.83 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 7562at5820           -            393   5.1e-09   34.0  12.1   3   4    0.0023      0.55    7.5   0.2   101   163   199   261   185   286 0.78 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 7562at5820           -            393   5.1e-09   34.0  12.1   4   4   5.7e-05     0.014   12.8   0.0    61   130   250   319   245   323 0.79 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 7562at5820           -            393   1.8e-08   32.2  20.1   1   5   7.5e-07   0.00018   19.0   0.3    77   172    22   121     3   125 0.83 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 7562at5820           -            393   1.8e-08   32.2  20.1   2   5   8.6e-05     0.021   12.2   0.6   101   173    88   164    86   173 0.87 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 7562at5820           -            393   1.8e-08   32.2  20.1   3   5   0.00024     0.058   10.7   0.2   102   157   243   300   235   304 0.92 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 7562at5820           -            393   1.8e-08   32.2  20.1   4   5   2.9e-06    0.0007   17.1   0.1   100   166   285   355   283   367 0.77 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 7562at5820           -            393   1.8e-08   32.2  20.1   5   5      0.45   1.1e+02   -0.0   2.4   166   204   606   649   541   671 0.68 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 7562at5820           -            393   3.2e-08   31.3   2.4   1   3   1.3e-10   3.2e-08   31.3   2.4    98   214     9   136     4   143 0.83 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 7562at5820           -            393   3.2e-08   31.3   2.4   2   3      0.79   1.9e+02   -0.8   0.1   149   242   149   210   139   218 0.47 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 7562at5820           -            393   3.2e-08   31.3   2.4   3   3         2   4.8e+02   -2.2   1.4   198   275   250   330   235   344 0.65 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 7562at5820           -            393   3.4e-08   31.2  10.5   1   3    0.0061       1.5    6.1   0.2    96   134   885   923   872   925 0.90 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 7562at5820           -            393   3.4e-08   31.2  10.5   2   3   1.8e-08   4.2e-06   24.4   0.9    92   177   924  1013   923  1019 0.92 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 7562at5820           -            393   3.4e-08   31.2  10.5   3   3     0.011       2.7    5.3   0.0   101   136  1150  1188  1136  1195 0.85 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 7562at5820           -            393   9.2e-08   29.8   2.3   1   1   7.1e-10   1.7e-07   29.0   2.3    33   137   179   290   154   301 0.84 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 7562at5820           -            393   1.6e-07   29.1  11.6   1   4       5.5   1.3e+03   -3.6   0.6   251   293    91   134    88   144 0.61 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 7562at5820           -            393   1.6e-07   29.1  11.6   2   4     4e-06   0.00096   16.6   0.3   100   176   317   397   292   401 0.83 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 7562at5820           -            393   1.6e-07   29.1  11.6   3   4   6.8e-07   0.00016   19.1   0.1    99   157   400   458   394   475 0.90 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 7562at5820           -            393   1.6e-07   29.1  11.6   4   4         1   2.5e+02   -1.2   0.1    73   134   504   573   487   581 0.66 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723278.1         -            524 7562at5820           -            393   5.1e-07   27.4   1.5   1   4       1.4   3.3e+02   -1.6   0.1    55    55    67    67    13   135 0.48 | transcript=PVPAM_140019700_t1 | gene=PVPAM_140019700 | organism=Plasmodium_vivax_PAM | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=CASCJQ010000014:659160-660734(-) | protein_length=524 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723278.1         -            524 7562at5820           -            393   5.1e-07   27.4   1.5   2   4     0.066        16    2.7   0.3    94   147   207   261   171   264 0.77 | transcript=PVPAM_140019700_t1 | gene=PVPAM_140019700 | organism=Plasmodium_vivax_PAM | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=CASCJQ010000014:659160-660734(-) | protein_length=524 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723278.1         -            524 7562at5820           -            393   5.1e-07   27.4   1.5   3   4   2.1e-09   5.1e-07   27.4   1.5    95   174   259   342   253   349 0.89 | transcript=PVPAM_140019700_t1 | gene=PVPAM_140019700 | organism=Plasmodium_vivax_PAM | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=CASCJQ010000014:659160-660734(-) | protein_length=524 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723278.1         -            524 7562at5820           -            393   5.1e-07   27.4   1.5   4   4      0.25        59    0.8   8.9   114   234   320   440   318   462 0.72 | transcript=PVPAM_140019700_t1 | gene=PVPAM_140019700 | organism=Plasmodium_vivax_PAM | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=CASCJQ010000014:659160-660734(-) | protein_length=524 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 7562at5820           -            393   2.1e-06   25.4   7.5   1   4   1.6e-05    0.0039   14.6   0.1    93   137    53    98    44   101 0.86 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 7562at5820           -            393   2.1e-06   25.4   7.5   2   4   0.00023     0.055   10.8   0.1    99   138   102   141    98   146 0.94 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 7562at5820           -            393   2.1e-06   25.4   7.5   3   4       1.3   3.2e+02   -1.6   0.0   102   133   333   364   265   375 0.63 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 7562at5820           -            393   2.1e-06   25.4   7.5   4   4      0.11        27    1.9   0.1   114   134   388   408   376   419 0.88 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 7562at5820           -            393   6.8e-06   23.7   7.2   1   5     0.027       6.4    4.0   7.6    82   189    33   148     4   179 0.47 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 7562at5820           -            393   6.8e-06   23.7   7.2   2   5     0.034       8.1    3.7   0.3   101   140   185   226   178   229 0.84 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 7562at5820           -            393   6.8e-06   23.7   7.2   3   5   2.9e-08   6.8e-06   23.7   7.2    95   159   223   287   210   336 0.72 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 7562at5820           -            393   6.8e-06   23.7   7.2   4   5    0.0049       1.2    6.4   3.1   172   251   421   498   411   604 0.73 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 7562at5820           -            393   6.8e-06   23.7   7.2   5   5       1.4   3.3e+02   -1.6   0.1   363   390   833   860   828   905 0.85 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723848.1         -            565 7562at5820           -            393   8.5e-06   23.4   0.1   1   1   8.2e-08     2e-05   22.2   0.1   100   176    68   158    51   166 0.71 | transcript=PVPAM_140077100_t1 | gene=PVPAM_140077100 | organism=Plasmodium_vivax_PAM | gene_product=coronin, putative | transcript_product=coronin, putative | location=CASCJQ010000014:3029062-3031161(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
