#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2   1  13  2.3e-133  2.9e-130  434.2   8.0     1   231     1   243     1   246 0.96 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2  12  13     0.063        81   -0.9   4.5   869   914  2047  2092  2023  2152 0.76 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719143.1         -           2336 1016at5820           -           1026         0 1439.0  96.2  13  13     7e-74   9.1e-71  237.3   2.8   915  1025  2222  2336  2181  2336 0.92 | transcript=PVPAM_060015000_t1 | gene=PVPAM_060015000 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=CASCJQ010000006:412522-419773(+) | protein_length=2336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722768.1         -            668 1016at5820           -           1026   1.6e-24   84.1  31.5   1   1   1.2e-26   1.6e-23   80.9  31.5   218   550   333   657   258   666 0.70 | transcript=PVPAM_130026900_t1 | gene=PVPAM_130026900 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor eIF2A, putative | transcript_product=eukaryotic translation initiation factor eIF2A, putative | location=CASCJQ010000013:994332-996338(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721587.1         -           2845 1016at5820           -           1026   9.6e-12   41.9   0.0   1   7         5   6.5e+03   -7.7   3.9   553   587   727   761   713   784 0.41 | transcript=PVPAM_110049200_t1 | gene=PVPAM_110049200 | organism=Plasmodium_vivax_PAM | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=CASCJQ010000011:1833351-1842227(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721587.1         -           2845 1016at5820           -           1026   9.6e-12   41.9   0.0   2   7         5   6.5e+03  -16.2  27.6   488   653   862  1032   845  1049 0.45 | transcript=PVPAM_110049200_t1 | gene=PVPAM_110049200 | organism=Plasmodium_vivax_PAM | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=CASCJQ010000011:1833351-1842227(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721587.1         -           2845 1016at5820           -           1026   9.6e-12   41.9   0.0   3   7      0.12   1.6e+02   -1.9   2.2   809   924  1035  1148  1030  1167 0.77 | transcript=PVPAM_110049200_t1 | gene=PVPAM_110049200 | organism=Plasmodium_vivax_PAM | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=CASCJQ010000011:1833351-1842227(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721587.1         -           2845 1016at5820           -           1026   9.6e-12   41.9   0.0   4   7      0.38   4.9e+02   -3.5   1.2   791   812  1410  1431  1399  1505 0.47 | transcript=PVPAM_110049200_t1 | gene=PVPAM_110049200 | organism=Plasmodium_vivax_PAM | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=CASCJQ010000011:1833351-1842227(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721587.1         -           2845 1016at5820           -           1026   9.6e-12   41.9   0.0   5   7   7.4e-15   9.6e-12   41.9   0.0   922  1010  1816  1900  1730  1905 0.71 | transcript=PVPAM_110049200_t1 | gene=PVPAM_110049200 | organism=Plasmodium_vivax_PAM | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=CASCJQ010000011:1833351-1842227(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721587.1         -           2845 1016at5820           -           1026   9.6e-12   41.9   0.0   6   7         5   6.5e+03  -14.3  23.0   446   559  2322  2433  2312  2456 0.41 | transcript=PVPAM_110049200_t1 | gene=PVPAM_110049200 | organism=Plasmodium_vivax_PAM | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=CASCJQ010000011:1833351-1842227(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721587.1         -           2845 1016at5820           -           1026   9.6e-12   41.9   0.0   7   7         5   6.5e+03   -7.7  19.5   493   565  2471  2543  2440  2566 0.65 | transcript=PVPAM_110049200_t1 | gene=PVPAM_110049200 | organism=Plasmodium_vivax_PAM | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=CASCJQ010000011:1833351-1842227(-) | protein_length=2845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718753.1         -           1206 1016at5820           -           1026     0.087    8.9   5.4   1   1   9.9e-05      0.13    8.4   5.4   519   574  1045  1099   975  1136 0.70 | transcript=PVPAM_050014700_t1 | gene=PVPAM_050014700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:444899-448519(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720720.1         -            324 1016at5820           -           1026      0.83    5.7  12.9   1   1   0.00087       1.1    5.2  12.9   526   589   214   277   149   300 0.59 | transcript=PVPAM_090048500_t1 | gene=PVPAM_090048500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1961383-1962357(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1016at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1016at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1016at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:54 2026
# [ok]
