#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722149.1         -            620 5842at5820           -            485  2.9e-267  885.4  31.0   1   2   8.6e-10   1.1e-06   26.0   2.8     1    28     1    28     1    38 0.94 | transcript=PVPAM_120038700_t1 | gene=PVPAM_120038700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000012:1338721-1340862(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719512.1         -           1220 5842at5820           -            485     9e-08   29.6  12.1   3   4      0.91   1.2e+03   -3.7   3.2   371   395   684   708   646   732 0.51 | transcript=PVPAM_070012600_t1 | gene=PVPAM_070012600 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000007:419794-423456(+) | protein_length=1220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719512.1         -           1220 5842at5820           -            485     9e-08   29.6  12.1   4   4       3.9   5.1e+03   -5.8   2.0   379   395  1096  1112  1093  1165 0.60 | transcript=PVPAM_070012600_t1 | gene=PVPAM_070012600 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000007:419794-423456(+) | protein_length=1220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722092.1         -            547 5842at5820           -            485   3.3e-05   21.2   1.4   1   2   2.5e-08   3.3e-05   21.2   1.4   110   171   318   382   311   414 0.76 | transcript=PVPAM_120033000_t1 | gene=PVPAM_120033000 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=CASCJQ010000012:1113658-1115301(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722092.1         -            547 5842at5820           -            485   3.3e-05   21.2   1.4   2   2       0.1   1.3e+02   -0.6   5.8   228   296   400   468   383   479 0.87 | transcript=PVPAM_120033000_t1 | gene=PVPAM_120033000 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=CASCJQ010000012:1113658-1115301(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5842at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5842at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:42 2026
# [ok]
