#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722895.1         -           1081 1887at5820           -            670         0 1091.4  61.7   1   5     7e-05     0.075    9.8   0.2     1    27     1    27     1    39 0.85 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1887at5820           -            670   6.5e-48  162.1  21.0   2   5   6.1e-51   6.5e-48  162.1  21.0    52   389   260   623   256   629 0.81 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1887at5820           -            670   6.5e-48  162.1  21.0   3   5      0.48   5.2e+02   -2.8   1.7   397   456   703   765   692   770 0.65 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1887at5820           -            670   6.5e-48  162.1  21.0   4   5      0.13   1.4e+02   -1.0   2.0   232   289   860   918   842   925 0.73 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1887at5820           -            670   6.5e-48  162.1  21.0   5   5      0.43   4.6e+02   -2.7   1.2   201   241  1133  1174  1122  1178 0.85 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1887at5820           -            670   3.9e-26   90.1  71.9   1   7     0.093     1e+02   -0.5   5.7   384   484   165   279   151   320 0.73 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1887at5820           -            670   3.9e-26   90.1  71.9   2   7     0.086        93   -0.4   0.0    41    76   368   403   329   406 0.85 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1887at5820           -            670   3.9e-26   90.1  71.9   3   7     2e-13   2.2e-10   38.1  31.0    81   483   528   963   514   987 0.66 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1887at5820           -            670   3.9e-26   90.1  71.9   4   7         6   6.5e+03   -6.7  10.0   567   656  1015  1103   975  1120 0.53 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1887at5820           -            670   3.9e-26   90.1  71.9   5   7       1.7   1.8e+03   -4.6   2.5   475   541  1244  1307  1202  1323 0.52 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1887at5820           -            670   3.9e-26   90.1  71.9   6   7   9.7e-16     1e-12   45.7   9.0    45   200  1408  1586  1396  1677 0.68 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1887at5820           -            670   3.9e-26   90.1  71.9   7   7     1e-13   1.1e-10   39.0  16.0   271   547  1743  2018  1740  2022 0.81 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 1887at5820           -            670   1.5e-21   75.0   2.3   1   1   5.2e-23   5.6e-20   69.8   2.3    38   391   265   662   243   693 0.72 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 1887at5820           -            670   9.4e-17   59.1  44.1   1   3   2.1e-15   2.3e-12   44.6  11.7    21   214   284   484   267   512 0.72 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 1887at5820           -            670   9.4e-17   59.1  44.1   2   3   4.1e-10   4.4e-07   27.1  16.2   240   492   592   853   568   878 0.66 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 1887at5820           -            670   9.4e-17   59.1  44.1   3   3      0.87   9.3e+02   -3.7   1.1   267   298  1149  1182  1108  1204 0.65 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1887at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1887at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1887at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:10 2026
# [ok]
