#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723653.1         -           2146 1010at5820           -           1125         0 1723.4 141.8   1  11  2.8e-206  9.1e-203  674.7  27.7     1   302     1   305     1   311 0.98 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   1   5     4e-39   1.3e-35  121.2  35.7    16   257    62   293    52   309 0.89 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   2   5   1.7e-32   5.4e-29   99.2  30.4   373   534   322   499   314   514 0.86 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   3   5         2   6.5e+03   -8.7  10.9   630   846   772   836   722   888 0.34 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   4   5       0.4   1.3e+03   -4.7   1.1   546   618  1048  1117  1046  1131 0.68 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   5   5     0.073   2.4e+02   -2.2   0.5  1087  1122  1501  1537  1484  1539 0.80 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1010at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1010at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1010at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:42 2026
# [ok]
