#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5   1  18   7.8e-22     5e-18   63.9   3.7     1    48     1    60     1    84 0.84 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  12  18     5e-08   0.00033   18.4   3.3    47    69   310   332   307   335 0.92 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  13  18   4.1e-08   0.00027   18.7   3.0    47    69   323   345   319   348 0.91 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  14  18   5.7e-08   0.00037   18.2   3.0    47    69   336   358   332   362 0.91 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  15  18   6.7e-08   0.00044   18.0  45.1    46   205   361   523   347   533 0.69 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  16  18   4.8e-20   3.1e-16   58.0   5.7    87   148   548   622   537   629 0.83 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  17  18  3.8e-127  2.5e-123  410.6  15.6   142   377   684   933   676   941 0.93 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720483.1         -            975 5783at5820           -            394  2.4e-200  664.1 176.5  18  18   9.7e-09   6.3e-05   20.7   0.9   371   394   952   975   946   975 0.93 | transcript=PVPAM_090024800_t1 | gene=PVPAM_090024800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:904848-908837(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5783at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5783at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5783at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:18 2026
# [ok]
