#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5   1  12  5.8e-169  3.8e-165  550.2  30.7     1   258     1   258     1   267 0.99 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720247.1         -           3675 224at5820            -           1959         0 3327.3 346.5  12  12   1.1e-52     7e-49  164.6  16.1  1820  1959  3537  3675  3533  3675 0.86 | transcript=PVPAM_080047000_t1 | gene=PVPAM_080047000 | organism=Plasmodium_vivax_PAM | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=CASCJQ010000008:1816060-1827087(+) | protein_length=3675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:57 2026
# [ok]
