#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720120.1         -           2380 279at5820            -           1909         0 4106.8  82.8   1   5         0         0 1485.6   4.0     1   621     1   633     1   693 0.96 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723914.1         -            573 279at5820            -           1909   5.4e-11   38.9   0.6   1   3         4   6.5e+03  -16.3  18.0   950  1013   144   216   129   242 0.62 | transcript=PVPAM_API0008500_t1 | gene=PVPAM_API0008500 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=CASCJQ010000015:18405-20126(-) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723914.1         -            573 279at5820            -           1909   5.4e-11   38.9   0.6   2   3   1.6e-09   2.6e-06   23.4   0.1   361   408   326   373   227   391 0.88 | transcript=PVPAM_API0008500_t1 | gene=PVPAM_API0008500 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=CASCJQ010000015:18405-20126(-) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723914.1         -            573 279at5820            -           1909   5.4e-11   38.9   0.6   3   3   3.4e-09   5.6e-06   22.3   0.0   468   560   409   501   380   511 0.82 | transcript=PVPAM_API0008500_t1 | gene=PVPAM_API0008500 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=CASCJQ010000015:18405-20126(-) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/279at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/279at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/279at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:49 2026
# [ok]
