#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718881.1         -            269 10779at5820          -            230  7.3e-140  463.0  34.8   1   2   6.2e-89   1.6e-86  288.5  25.8     1   148     9   159     9   172 0.96 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 10779at5820          -            230   1.6e-12   46.4   0.1   3   3   5.7e-06    0.0015   17.1   0.0   121   221   331   436   310   445 0.77 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 10779at5820          -            230   1.7e-12   46.3   0.9   1   2   3.2e-07   8.2e-05   21.2   0.0   153   228    17    91     7    93 0.88 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 10779at5820          -            230   1.7e-12   46.3   0.9   2   2   1.1e-07   2.8e-05   22.7   1.6   132   230   147   244   109   244 0.71 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 10779at5820          -            230   1.2e-11   43.5   0.6   1   2   1.7e-06   0.00044   18.8   0.0   151   219    14    82     2    89 0.88 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 10779at5820          -            230   1.2e-11   43.5   0.6   2   2   7.9e-08     2e-05   23.1   0.1   159   222   109   171    91   179 0.87 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 10779at5820          -            230   4.3e-11   41.7   1.2   1   3      0.22        56    2.1   0.1   156   221    17    77     1    86 0.71 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 10779at5820          -            230   4.3e-11   41.7   1.2   2   3   6.2e-07   0.00016   20.2   0.0   151   220   112   180    96   185 0.91 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 10779at5820          -            230   4.3e-11   41.7   1.2   3   3   6.5e-06    0.0017   16.9   0.1   147   226   199   277   182   281 0.76 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719920.1         -            322 10779at5820          -            230   2.8e-08   32.5   1.9   1   2       9.3   2.4e+03   -3.3   1.0    23    23    51    51    22    80 0.57 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719920.1         -            322 10779at5820          -            230   2.8e-08   32.5   1.9   2   2   1.1e-10   2.8e-08   32.5   1.9   147   228    78   161    50   163 0.87 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 10779at5820          -            230   4.5e-08   31.8   0.0   1   2   3.6e-08   9.4e-06   24.2   0.0   159   220     9    69     3    75 0.88 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 10779at5820          -            230   4.5e-08   31.8   0.0   2   2      0.02       5.1    5.5   0.0   162   223   160   218   154   222 0.82 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 10779at5820          -            230   1.3e-07   30.3   7.4   1   2     0.005       1.3    7.4   0.3   156   212    99   154    88   166 0.85 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 10779at5820          -            230   1.3e-07   30.3   7.4   2   2   1.5e-08   3.8e-06   25.5   2.0   150   215   301   369   271   375 0.78 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721474.1         -            153 10779at5820          -            230   5.3e-07   28.3   1.6   1   1   2.4e-09   6.1e-07   28.1   1.6   131   224    34   127    16   133 0.84 | transcript=PVPAM_110037900_t1 | gene=PVPAM_110037900 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=CASCJQ010000011:1378019-1379455(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723072.1         -            107 10779at5820          -            230   1.4e-06   27.0   0.0   1   1   6.1e-09   1.6e-06   26.8   0.0   158   219    24    85     5    92 0.89 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719153.1         -            471 10779at5820          -            230   2.5e-06   26.1   0.1   1   1   9.5e-09   2.5e-06   26.1   0.1   151   224   303   376   291   382 0.92 | transcript=PVPAM_060016000_t1 | gene=PVPAM_060016000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=CASCJQ010000006:464754-467636(-) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 10779at5820          -            230   5.3e-06   25.0   0.4   1   2     4e-08     1e-05   24.1   0.1   158   222     9    73     2    81 0.90 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 10779at5820          -            230   5.3e-06   25.0   0.4   2   2      0.81   2.1e+02    0.2   0.1    37    57    70    91    66    96 0.78 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 10779at5820          -            230     6e-06   24.9   0.2   1   2   5.1e-08   1.3e-05   23.8   0.0   139   220    18    99     6   107 0.89 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 10779at5820          -            230     6e-06   24.9   0.2   2   2       7.8     2e+03   -3.0   0.1    54    67   153   166   123   183 0.59 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 10779at5820          -            230   2.3e-05   23.0   0.2   1   1   1.1e-07   2.9e-05   22.6   0.2   147   215    58   129     7   154 0.81 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719779.1         -            721 10779at5820          -            230     8e-05   21.2   0.0   1   1   7.4e-07   0.00019   19.9   0.0   160   220    10    70     3    78 0.89 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 10779at5820          -            230   0.00018   20.1   5.4   1   3     0.002      0.52    8.7   0.9   149   214   627   693   597   702 0.79 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 10779at5820          -            230   0.00018   20.1   5.4   2   3   0.00047      0.12   10.8   0.0   167   219   747   799   741   809 0.92 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 10779at5820          -            230   0.00018   20.1   5.4   3   3       1.1   2.8e+02   -0.2   0.0   179   229   966  1012   953  1013 0.78 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 10779at5820          -            230    0.0002   19.9   0.1   1   1   1.8e-06   0.00045   18.7   0.1   158   220    30    92     6   100 0.87 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719609.1         -            340 10779at5820          -            230    0.0005   18.6   6.5   1   2     0.034       8.9    4.7   0.1   163   215    93   144    84   157 0.81 | transcript=PVPAM_070022300_t1 | gene=PVPAM_070022300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=CASCJQ010000007:784356-785378(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719609.1         -            340 10779at5820          -            230    0.0005   18.6   6.5   2   2   4.2e-06    0.0011   17.5   0.0   158   217   171   229   159   241 0.84 | transcript=PVPAM_070022300_t1 | gene=PVPAM_070022300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=CASCJQ010000007:784356-785378(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718904.1         -            236 10779at5820          -            230   0.00086   17.8   0.0   1   1   5.2e-06    0.0013   17.2   0.0   157   221    34    98    17   107 0.90 | transcript=PVPAM_050029600_t1 | gene=PVPAM_050029600 | organism=Plasmodium_vivax_PAM | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=CASCJQ010000005:1023050-1023894(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 10779at5820          -            230    0.0017   16.9   0.3   1   2   1.7e-05    0.0045   15.5   0.1   164   211   125   172   105   189 0.82 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 10779at5820          -            230    0.0017   16.9   0.3   2   2       3.2   8.3e+02   -1.8   0.0   172   222   217   265   191   273 0.63 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 10779at5820          -            230    0.0017   16.8   0.0   1   1   8.8e-06    0.0023   16.4   0.0   159   220    16    74    10    84 0.86 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 10779at5820          -            230     0.003   16.0   1.0   1   3       4.4   1.1e+03   -2.2   0.0   157   218   403   461   389   468 0.64 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 10779at5820          -            230     0.003   16.0   1.0   2   3       9.8   2.5e+03   -3.4   0.0   161   192   554   586   533   600 0.66 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 10779at5820          -            230     0.003   16.0   1.0   3   3   4.5e-05     0.012   14.1   0.2   155   220   666   730   635   740 0.76 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 10779at5820          -            230    0.0043   15.5  19.3   1   3   0.00016     0.042   12.3   6.1    86   214   298   420   264   437 0.61 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 10779at5820          -            230    0.0043   15.5  19.3   2   3       1.4   3.6e+02   -0.6   3.0    86   126   531   573   455   595 0.61 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 10779at5820          -            230    0.0043   15.5  19.3   3   3    0.0013      0.34    9.3   0.0   159   219   665   725   655   734 0.85 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10779at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10779at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10779at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:12 2026
# [ok]
