#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719236.1         -            272 10294at5820          -            246  8.1e-140  463.0  26.0   1   1  1.6e-142  9.2e-140  462.8  26.0     1   246    10   270    10   270 0.96 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 10294at5820          -            246    0.0035   15.5   1.5   1   2      0.17        99    0.9   1.1   190   209    28    47    23    55 0.80 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 10294at5820          -            246    0.0035   15.5   1.5   2   2     6e-06    0.0035   15.5   1.5   203   238    65   100    59   106 0.87 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 10294at5820          -            246      0.01   14.0   7.8   1   1   3.1e-05     0.018   13.1   7.8   192   237    23    79     4    84 0.72 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718907.1         -            730 10294at5820          -            246     0.025   12.7   2.2   1   1   8.1e-05     0.048   11.8   2.2   190   239    75   121    27   126 0.72 | transcript=PVPAM_050029900_t1 | gene=PVPAM_050029900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC3, putative | transcript_product=PhIL1-interacting candidate PIC3, putative | location=CASCJQ010000005:1028422-1030614(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721360.1         -            519 10294at5820          -            246     0.034   12.2   5.5   1   1    0.0001      0.06   11.4   5.5   194   243   363   409   359   412 0.89 | transcript=PVPAM_110026300_t1 | gene=PVPAM_110026300 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=CASCJQ010000011:934966-936525(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10294at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10294at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10294at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:28 2026
# [ok]
