#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720733.1         -            207 11817at5820          -            183  2.6e-125  413.7   2.5   1   1  8.8e-128  3.4e-125  413.4   2.5     1   183     1   192     1   192 0.98 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719471.1         -            206 11817at5820          -            183   1.2e-32  111.7   0.7   1   1   3.8e-35   1.5e-32  111.5   0.7    12   172     9   174     1   182 0.90 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720460.1         -            214 11817at5820          -            183   3.3e-24   84.2   0.0   1   1   1.1e-26   4.3e-24   83.8   0.0    10   175     8   170     2   179 0.93 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 11817at5820          -            183   2.1e-09   36.0   0.2   1   1   7.3e-12   2.8e-09   35.6   0.2    13   174    19   179    10   181 0.82 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 11817at5820          -            183   1.1e-07   30.4   0.5   1   1   3.7e-10   1.4e-07   30.0   0.5    13   135    19   137    13   169 0.81 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 11817at5820          -            183   2.9e-06   25.7   0.3   1   1   9.7e-09   3.7e-06   25.4   0.3    12   151    17   152    10   178 0.84 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 11817at5820          -            183   4.6e-05   21.8   0.0   1   1     2e-07   7.6e-05   21.1   0.0    13   130    22   135     9   162 0.83 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721878.1         -            224 11817at5820          -            183   5.9e-05   21.5   1.4   1   2     0.049        19    3.5   0.1    13    43     5    35     3    66 0.87 | transcript=PVPAM_120011200_t1 | gene=PVPAM_120011200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=CASCJQ010000012:255844-257982(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721878.1         -            224 11817at5820          -            183   5.9e-05   21.5   1.4   2   2   3.7e-06    0.0014   17.0   0.2    86   175   113   206   101   212 0.79 | transcript=PVPAM_120011200_t1 | gene=PVPAM_120011200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=CASCJQ010000012:255844-257982(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11817at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11817at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11817at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:47 2026
# [ok]
