#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719553.1         -           3264 150at5820            -           2276         0 3445.1 297.7   1   7  1.2e-143  2.7e-140  468.0  62.1    13   536   125   878   122   880 0.77 | transcript=PVPAM_070016700_t1 | gene=PVPAM_070016700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=CASCJQ010000007:592729-602679(+) | protein_length=3264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 150at5820            -           2276   4.8e-63  211.7 218.7   1   7   1.6e-32   3.4e-29   99.5  69.7   601  1171   613  1200   577  1206 0.75 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 150at5820            -           2276   4.8e-63  211.7 218.7   2   7     6e-17   1.3e-13   47.8  17.2  1156  1279  1574  1695  1544  1706 0.82 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 150at5820            -           2276   4.8e-63  211.7 218.7   3   7   0.00025      0.55    5.9   0.6  1061  1119  1835  1896  1828  1902 0.57 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 150at5820            -           2276   4.8e-63  211.7 218.7   4   7   7.9e-15   1.7e-11   40.7   7.4  1390  1489  1921  2025  1916  2032 0.87 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 150at5820            -           2276   4.8e-63  211.7 218.7   5   7   1.4e-13     3e-10   36.6  22.9  1504  1689  2141  2332  2129  2354 0.91 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 150at5820            -           2276   4.8e-63  211.7 218.7   6   7   2.5e-09   5.4e-06   22.5  35.9  1718  1948  2491  2726  2471  2750 0.83 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 150at5820            -           2276   4.8e-63  211.7 218.7   7   7         3   6.5e+03  -14.7  18.6  2127  2259  3093  3226  2998  3244 0.71 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/150at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/150at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/150at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:06 2026
# [ok]
