#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722783.1         -            854 2259at5820           -            765         0 1614.0  22.8   1   1         0         0 1611.8  22.8     1   761    13   836    13   839 0.96 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 2259at5820           -            765   4.8e-27   93.1   5.3   1   1   1.3e-28   1.5e-26   91.4   5.3   492   717    60   319    48   334 0.76 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 2259at5820           -            765   5.9e-25   86.2   0.3   1   2       3.1   3.7e+02   -2.4   0.1   487   512   624   649   619   666 0.87 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 2259at5820           -            765   5.9e-25   86.2   0.3   2   2     5e-27   5.9e-25   86.2   0.3   493   722  1497  1751  1488  1781 0.76 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 2259at5820           -            765   6.2e-24   82.8   2.5   1   1     9e-26   1.1e-23   82.0   2.5   504   684  1186  1393  1179  1410 0.77 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723731.1         -            508 2259at5820           -            765   2.4e-23   80.9   0.2   1   1   3.1e-25   3.6e-23   80.3   0.2   506   697   126   330    87   355 0.75 | transcript=PVPAM_140065500_t1 | gene=PVPAM_140065500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=CASCJQ010000014:2591167-2592693(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720875.1         -            288 2259at5820           -            765   2.5e-23   80.8   0.1   1   1   2.9e-25   3.4e-23   80.4   0.1   505   684    16   225     7   250 0.78 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 2259at5820           -            765   4.5e-23   79.9   0.3   1   1   5.5e-25   6.4e-23   79.4   0.3   534   703  1413  1604  1379  1615 0.78 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722386.1         -            377 2259at5820           -            765   8.6e-23   79.0   1.0   1   1   9.7e-25   1.1e-22   78.6   1.0   524   704    77   278    59   312 0.75 | transcript=PVPAM_120062200_t1 | gene=PVPAM_120062200 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:2325953-2328570(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 2259at5820           -            765   1.3e-22   78.4  21.4   1   5     3e-12   3.5e-10   37.3   1.0   134   265  1937  2078  1894  2091 0.79 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 2259at5820           -            765   1.3e-22   78.4  21.4   2   5   0.00063     0.074    9.8   0.4   394   476  2221  2311  2198  2334 0.68 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 2259at5820           -            765   1.3e-22   78.4  21.4   3   5    0.0021      0.24    8.1   2.8    18    93  2338  2416  2321  2423 0.77 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 2259at5820           -            765   1.3e-22   78.4  21.4   4   5     0.023       2.7    4.6   0.0   439   476  2448  2487  2432  2508 0.82 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 2259at5820           -            765   1.3e-22   78.4  21.4   5   5   2.8e-09   3.3e-07   27.5   0.0   117   234  3061  3188  3037  3201 0.65 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718584.1         -           2117 2259at5820           -            765   1.9e-22   77.9   0.2   1   1   2.4e-24   2.8e-22   77.3   0.2   511   674  1711  1895  1685  1910 0.75 | transcript=PVPAM_040032900_t1 | gene=PVPAM_040032900 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000004:1143558-1149911(+) | protein_length=2117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718195.1         -            310 2259at5820           -            765   7.4e-22   75.9   0.7   1   1   7.6e-24   8.9e-22   75.7   0.7   514   715    33   248     6   266 0.78 | transcript=PVPAM_030019500_t1 | gene=PVPAM_030019500 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=CASCJQ010000003:634173-636068(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 2259at5820           -            765   3.1e-21   73.9   0.9   1   2   9.5e-14   1.1e-11   42.3   0.5   541   626    95   186    25   196 0.80 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 2259at5820           -            765   3.1e-21   73.9   0.9   2   2   6.2e-10   7.3e-08   29.6   0.0   625   718   340   431   330   446 0.91 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721289.1         -           4017 2259at5820           -            765   3.2e-20   70.5   0.3   1   1   4.4e-22   5.2e-20   69.8   0.3   541   717  1243  1429  1186  1448 0.79 | transcript=PVPAM_110019100_t1 | gene=PVPAM_110019100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK3, putative | transcript_product=serine/threonine protein kinase ARK3, putative | location=CASCJQ010000011:590696-602749(-) | protein_length=4017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723318.1         -            368 2259at5820           -            765   1.5e-18   65.0   3.5   1   1   2.8e-20   3.2e-18   63.9   3.5   493   712   100   346    67   355 0.73 | transcript=PVPAM_140023700_t1 | gene=PVPAM_140023700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=CASCJQ010000014:822225-823331(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 2259at5820           -            765   3.9e-18   63.6   0.3   1   2       3.5   4.2e+02   -2.6   0.0   506   527    14    35    11    50 0.71 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 2259at5820           -            765   3.9e-18   63.6   0.3   2   2   6.4e-20   7.5e-18   62.7   0.1   574   694   115   240    93   249 0.86 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 2259at5820           -            765   1.1e-17   62.1   0.5   1   1   4.3e-19   5.1e-17   59.9   0.5   534   709   169   379   125   392 0.78 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 2259at5820           -            765     8e-17   59.3   0.0   1   1   8.7e-19     1e-16   58.9   0.0   574   686    97   218     8   230 0.79 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 2259at5820           -            765   1.8e-16   58.1   2.5   1   2   1.6e-07   1.9e-05   21.6   1.1   505   615   564   698   554   708 0.68 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 2259at5820           -            765   1.8e-16   58.1   2.5   2   2   1.1e-11   1.2e-09   35.5   0.0   602   683   710   795   699   842 0.81 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720179.1         -            494 2259at5820           -            765   1.9e-16   58.0   0.2   1   1   5.7e-18   6.7e-16   56.2   0.2   573   685   217   337    91   355 0.87 | transcript=PVPAM_080040100_t1 | gene=PVPAM_080040100 | organism=Plasmodium_vivax_PAM | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=CASCJQ010000008:1564136-1566591(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723327.1         -            341 2259at5820           -            765     1e-14   52.3   0.9   1   2     0.078       9.1    2.9   0.1   485   530    13    59     5    98 0.69 | transcript=PVPAM_140024600_t1 | gene=PVPAM_140024600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000014:854740-857658(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723327.1         -            341 2259at5820           -            765     1e-14   52.3   0.9   2   2   1.4e-15   1.6e-13   48.3   0.1   585   678   143   246   131   292 0.75 | transcript=PVPAM_140024600_t1 | gene=PVPAM_140024600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000014:854740-857658(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 2259at5820           -            765   1.3e-14   51.9   0.1   1   1   1.7e-16   1.9e-14   51.4   0.1   531   672   813   965   795   978 0.83 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 2259at5820           -            765   2.9e-14   50.8   1.0   1   2   1.5e-08   1.8e-06   25.1   0.4   551   611   337   400   292   414 0.77 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 2259at5820           -            765   2.9e-14   50.8   1.0   2   2   3.1e-08   3.6e-06   24.1   0.0   625   712   526   620   520   634 0.67 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 2259at5820           -            765   3.4e-14   50.6   1.6   1   1   3.6e-16   4.3e-14   50.3   1.6   507   686    49   253    20   270 0.74 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 2259at5820           -            765   4.8e-14   50.1   0.2   1   1   5.9e-16     7e-14   49.5   0.2   540   685    75   239    18   257 0.78 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 2259at5820           -            765     1e-13   49.0   0.2   1   1   1.2e-15   1.4e-13   48.5   0.2   574   681   366   482   272   520 0.81 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721579.1         -            354 2259at5820           -            765     2e-13   48.1   0.0   1   1   2.3e-15   2.7e-13   47.6   0.0   526   681    73   250    36   271 0.77 | transcript=PVPAM_110048400_t1 | gene=PVPAM_110048400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK1, putative | transcript_product=serine/threonine protein kinase ARK1, putative | location=CASCJQ010000011:1807072-1808609(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 2259at5820           -            765   6.4e-13   46.4   1.8   1   2   2.9e-11   3.5e-09   34.0   3.1   493   625   169   326   157   331 0.64 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 2259at5820           -            765   6.4e-13   46.4   1.8   2   2    0.0021      0.25    8.1   0.0   625   665   357   398   353   416 0.82 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722441.1         -           1526 2259at5820           -            765   1.3e-12   45.4   1.0   1   2      0.01       1.2    5.8   0.1   500   532   459   491   446   499 0.90 | transcript=PVPAM_120067800_t1 | gene=PVPAM_120067800 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=CASCJQ010000012:2556552-2561283(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722441.1         -           1526 2259at5820           -            765   1.3e-12   45.4   1.0   2   2     2e-12   2.3e-10   37.9   0.1   553   717   592   766   587   789 0.75 | transcript=PVPAM_120067800_t1 | gene=PVPAM_120067800 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=CASCJQ010000012:2556552-2561283(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717807.1         -            721 2259at5820           -            765   4.6e-12   43.5   0.2   1   1   5.3e-14   6.2e-12   43.1   0.2   506   686   463   670   452   706 0.67 | transcript=PVPAM_010032100_t1 | gene=PVPAM_010032100 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000001:1221835-1224854(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 2259at5820           -            765   4.6e-12   43.5   0.0   1   1   6.1e-14   7.2e-12   42.9   0.0   586   682   915  1020   897  1028 0.80 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720430.1         -            708 2259at5820           -            765   9.5e-12   42.5   0.4   1   1   1.3e-13   1.5e-11   41.8   0.4   539   676   430   580   371   598 0.69 | transcript=PVPAM_090019500_t1 | gene=PVPAM_090019500 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=CASCJQ010000009:701953-705776(+) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 2259at5820           -            765   3.6e-11   40.6   0.5   1   2   8.6e-06     0.001   16.0   0.2   549   618   922  1001   911  1016 0.70 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 2259at5820           -            765   3.6e-11   40.6   0.5   2   2   8.5e-08   9.9e-06   22.6   0.0   612   673  1081  1145  1072  1166 0.83 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
