#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719304.1         -            886 2073at5820           -            783         0 1494.9  50.8   1   1         0         0 1491.3  50.8     1   779     1   879     1   886 0.93 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 2073at5820           -            783   7.7e-13   45.8   0.2   3   3     0.038        41    0.4   0.0   472   503   670   701   654   715 0.86 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 2073at5820           -            783   3.6e-05   20.5   0.6   1   2   0.00012      0.13    8.7   0.2   185   237   194   246   160   259 0.81 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 2073at5820           -            783   3.6e-05   20.5   0.6   2   2   7.2e-05     0.078    9.4   0.0   439   471  1111  1143  1106  1151 0.88 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2073at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2073at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2073at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:57 2026
# [ok]
