#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720745.1         -            660 4853at5820           -            513  1.9e-304 1008.1  28.4   1   2  1.2e-137    2e-135  450.5   5.1     5   230    10   241     2   258 0.93 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4853at5820           -            513   1.4e-21   74.9   4.7   1   4   0.00044     0.076    9.8   0.0   392   465    10    82     3    86 0.91 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4853at5820           -            513   1.4e-21   74.9   4.7   2   4   3.3e-10   5.7e-08   30.0   0.4   385   481    87   184    80   198 0.75 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4853at5820           -            513   1.4e-21   74.9   4.7   3   4     0.004      0.69    6.7   0.0   106   145   238   277   229   282 0.85 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 4853at5820           -            513   1.4e-21   74.9   4.7   4   4   2.5e-09   4.3e-07   27.1   0.1   109   186   285   362   279   367 0.85 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 4853at5820           -            513   1.7e-20   71.4   8.2   1   3   2.1e-05    0.0036   14.2   0.3   384   458   236   309   199   333 0.71 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 4853at5820           -            513   1.7e-20   71.4   8.2   2   3   8.1e-09   1.4e-06   25.4   0.0   112   209   428   526   423   528 0.88 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 4853at5820           -            513   1.7e-20   71.4   8.2   3   3   1.5e-11   2.6e-09   34.5   1.8   353   468   523   637   511   640 0.88 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 4853at5820           -            513   2.1e-20   71.1   7.6   1   6       7.1   1.2e+03   -4.1   3.8   286   358    92   169    17   217 0.51 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 4853at5820           -            513   2.1e-20   71.1   7.6   2   6       1.7     3e+02   -2.1   1.9   342   392   226   277   201   303 0.66 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 4853at5820           -            513   2.1e-20   71.1   7.6   3   6   9.4e-08   1.6e-05   21.9   0.1   111   180   352   421   339   422 0.92 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 4853at5820           -            513   2.1e-20   71.1   7.6   4   6     1e-12   1.8e-10   38.3   0.1   122   210   405   493   403   496 0.95 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 4853at5820           -            513   2.1e-20   71.1   7.6   5   6   2.9e-10   5.1e-08   30.2   1.0   387   463   478   554   474   561 0.95 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 4853at5820           -            513   2.1e-20   71.1   7.6   6   6     0.035       6.1    3.5   0.0   279   314   574   608   568   629 0.77 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 4853at5820           -            513   2.2e-20   71.0   7.6   1   5       1.5   2.5e+02   -1.8   1.6   342   392   235   286   210   311 0.65 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 4853at5820           -            513   2.2e-20   71.0   7.6   2   5   9.5e-08   1.7e-05   21.9   0.1   111   180   361   430   348   431 0.92 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 4853at5820           -            513   2.2e-20   71.0   7.6   3   5   1.1e-12   1.9e-10   38.2   0.1   122   210   414   502   412   505 0.95 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 4853at5820           -            513   2.2e-20   71.0   7.6   4   5     3e-10   5.2e-08   30.2   1.0   387   463   487   563   483   570 0.95 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 4853at5820           -            513   2.2e-20   71.0   7.6   5   5     0.036       6.2    3.5   0.0   279   314   583   617   577   638 0.77 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 4853at5820           -            513   6.8e-20   69.4  10.8   1   4   3.8e-05    0.0066   13.3   0.5   357   419   223   283    70   291 0.76 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 4853at5820           -            513   6.8e-20   69.4  10.8   2   4   4.2e-08   7.3e-06   23.1   0.5   354   468   220   333   209   356 0.76 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 4853at5820           -            513   6.8e-20   69.4  10.8   3   4   1.8e-06   0.00032   17.7   0.0   110   198   296   384   289   384 0.95 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 4853at5820           -            513   6.8e-20   69.4  10.8   4   4     4e-15   7.1e-13   46.2   2.1    98   209   369   480   367   498 0.84 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 4853at5820           -            513   1.2e-18   65.3  11.7   1   4       2.4   4.1e+02   -2.5   0.3   213   239   156   179   125   201 0.57 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 4853at5820           -            513   1.2e-18   65.3  11.7   2   4   5.7e-08   9.9e-06   22.6   2.0   107   198   273   364   188   365 0.77 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 4853at5820           -            513   1.2e-18   65.3  11.7   3   4   1.8e-13   3.2e-11   40.8   0.0   112   210   362   460   359   473 0.94 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 4853at5820           -            513   1.2e-18   65.3  11.7   4   4    0.0018      0.32    7.8   0.0   115   146   545   576   528   584 0.72 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 4853at5820           -            513   1.8e-18   64.7   4.5   1   3   8.2e-10   1.4e-07   28.7   0.0    95   181    44   133    31   145 0.85 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 4853at5820           -            513   1.8e-18   64.7   4.5   2   3      0.32        57    0.4   0.0   135   177   229   271   210   289 0.62 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 4853at5820           -            513   1.8e-18   64.7   4.5   3   3   3.3e-11   5.8e-09   33.3   2.8   354   463   301   410   232   435 0.78 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 4853at5820           -            513   1.2e-16   58.7  20.4   1   4   3.6e-06   0.00062   16.7   0.1   476   512     5    41     2    42 0.92 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 4853at5820           -            513   1.2e-16   58.7  20.4   2   4   5.2e-07     9e-05   19.5   0.8   388   460    84   159    44   182 0.77 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 4853at5820           -            513   1.2e-16   58.7  20.4   3   4   8.8e-08   1.5e-05   22.0   1.7   390   463   247   323   223   336 0.61 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 4853at5820           -            513   1.2e-16   58.7  20.4   4   4   0.00043     0.075    9.9   1.1   382   462   602   691   588   694 0.69 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 4853at5820           -            513   1.9e-16   58.0  27.3   1   3         3   5.2e+02   -2.8   1.3   218   248   166   197   162   199 0.61 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 4853at5820           -            513   1.9e-16   58.0  27.3   2   3   4.2e-15   7.4e-13   46.2   6.8   382   506   886  1002   861  1007 0.78 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 4853at5820           -            513   1.9e-16   58.0  27.3   3   3   1.3e-08   2.4e-06   24.7   8.0   259   464   971  1189   968  1207 0.72 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 4853at5820           -            513   3.6e-16   57.1   9.9   1   2   5.8e-07    0.0001   19.3   1.8   284   423    39   175     5   183 0.73 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 4853at5820           -            513   3.6e-16   57.1   9.9   2   2   1.3e-13   2.3e-11   41.3   1.5   108   206   183   283   175   289 0.90 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 4853at5820           -            513   5.2e-16   56.6  10.0   1   4   4.9e-14   8.5e-12   42.7   2.3   109   200    11   103     3   139 0.82 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 4853at5820           -            513   5.2e-16   56.6  10.0   2   4     0.045       7.9    3.2   0.0   146   193   137   182   106   187 0.77 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 4853at5820           -            513   5.2e-16   56.6  10.0   3   4   2.4e-05    0.0041   14.0   0.3   394   463   189   260   184   278 0.83 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 4853at5820           -            513   5.2e-16   56.6  10.0   4   4       2.9   5.1e+02   -2.8   0.0   358   374   344   360   339   362 0.83 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 4853at5820           -            513   1.3e-15   55.3  15.3   1   3   0.00045     0.079    9.8   0.1   118   204   345   430   342   432 0.80 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 4853at5820           -            513   1.3e-15   55.3  15.3   2   3   8.8e-12   1.5e-09   35.2   0.2   108   197   418   510   409   519 0.88 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
