#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718118.1         -            380 8131at5820           -            332    2e-189  627.2  64.5   1   1  5.8e-191  4.7e-188  622.6  64.5     1   332     8   380     8   380 0.95 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 8131at5820           -            332   2.1e-06   25.5  26.5   7   7    0.0057       4.6    4.7   0.0    54    96  1067  1109  1061  1114 0.89 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 8131at5820           -            332     3e-06   25.1   3.3   1   3     0.047        38    1.7   0.0   201   224    30    53    19    57 0.82 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 8131at5820           -            332     3e-06   25.1   3.3   2   3   0.00015      0.12    9.9   0.2   152   225    94   177    92   184 0.76 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 8131at5820           -            332     3e-06   25.1   3.3   3   3   7.6e-05     0.061   10.9   0.0    54   130   188   273   177   306 0.73 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 8131at5820           -            332       1.5    6.3  61.0   1   6      0.02        16    2.9   6.8   204   288    56   135    31   144 0.55 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 8131at5820           -            332       1.5    6.3  61.0   2   6   0.00082      0.66    7.5  11.1   183   271   233   323   224   362 0.68 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 8131at5820           -            332       1.5    6.3  61.0   3   6       0.8   6.5e+02   -2.3   3.5   247   276   345   373   323   395 0.47 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 8131at5820           -            332       1.5    6.3  61.0   4   6    0.0021       1.7    6.1  12.0   227   332   394   495   390   495 0.73 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 8131at5820           -            332       1.5    6.3  61.0   5   6     0.005         4    4.9   0.2   190   224   516   550   494   555 0.71 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 8131at5820           -            332       1.5    6.3  61.0   6   6     0.018        15    3.1   0.9    54    96   557   599   548   603 0.85 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8131at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8131at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8131at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:07 2026
# [ok]
