#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723372.1         -            216 11491at5820          -            195  4.7e-125  413.1   7.2   1   1  1.9e-127  6.7e-125  412.6   7.2     1   191     1   201     1   205 0.98 | transcript=PVPAM_140029100_t1 | gene=PVPAM_140029100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=CASCJQ010000014:1044385-1045933(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 11491at5820          -            195   8.9e-32  108.8  10.4   2   2   2.7e-27   9.6e-25   85.9   6.5    35   181    76   222    54   236 0.81 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720460.1         -            214 11491at5820          -            195   5.3e-21   73.6   0.0   1   1   1.8e-23   6.4e-21   73.4   0.0    11   169    10   164     1   174 0.88 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 11491at5820          -            195   4.6e-06   24.9   0.5   1   1   1.5e-08   5.3e-06   24.7   0.5    15   171    22   176    13   178 0.73 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 11491at5820          -            195   5.4e-06   24.7   0.1   1   2      0.13        48    2.0   0.0    14    31     7    24     2    30 0.80 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 11491at5820          -            195   5.4e-06   24.7   0.1   2   2   4.6e-07   0.00017   19.8   0.0    55   111   152   208   106   227 0.90 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 11491at5820          -            195   2.8e-05   22.3   0.1   1   1   9.5e-08   3.4e-05   22.1   0.1    20   130    27   132    14   161 0.75 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721878.1         -            224 11491at5820          -            195   0.00029   19.0   0.1   1   1   1.5e-06   0.00054   18.2   0.1    83   175   110   206    95   219 0.85 | transcript=PVPAM_120011200_t1 | gene=PVPAM_120011200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=CASCJQ010000012:255844-257982(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 11491at5820          -            195    0.0048   15.1   0.0   1   1     2e-05    0.0073   14.5   0.0    60   127    64   132    53   141 0.87 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 11491at5820          -            195     0.012   13.8   0.5   1   1   3.8e-05     0.014   13.6   0.5    15   129    21   130     8   179 0.72 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11491at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11491at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11491at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:11 2026
# [ok]
