#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723650.1         -            213 10977at5820          -            198  2.6e-141  466.3   0.8   1   1  8.2e-144  2.9e-141  466.2   0.8     1   198     1   198     1   198 1.00 | transcript=PVPAM_140057400_t1 | gene=PVPAM_140057400 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=CASCJQ010000014:2254682-2256145(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721878.1         -            224 10977at5820          -            198   5.2e-08   31.2   0.2   1   1   2.3e-10   8.3e-08   30.5   0.2    79   179   110   215    95   221 0.81 | transcript=PVPAM_120011200_t1 | gene=PVPAM_120011200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=CASCJQ010000012:255844-257982(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 10977at5820          -            198   9.4e-08   30.4   0.0   1   1   2.8e-10     1e-07   30.3   0.0    46   133    51   139    18   171 0.85 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 10977at5820          -            198   4.5e-06   24.9   0.1   1   1   1.3e-08   4.7e-06   24.8   0.1    47    97    52   102    18   176 0.73 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 10977at5820          -            198   9.9e-06   23.8   0.6   1   3     0.024       8.7    4.4   0.0     9    31     5    26     2    34 0.81 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 10977at5820          -            198   9.9e-06   23.8   0.6   2   3      0.56     2e+02   -0.1   0.1   130   172    46    88    37    97 0.74 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 10977at5820          -            198   9.9e-06   23.8   0.6   3   3   9.7e-06    0.0035   15.4   0.0    53   111   154   212   139   223 0.87 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 10977at5820          -            198   7.5e-05   20.9   0.1   1   1   2.3e-07   8.3e-05   20.8   0.1    30   126    34   131    13   180 0.74 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 10977at5820          -            198    0.0012   16.9   0.0   1   1   4.5e-06    0.0016   16.5   0.0    19   124    32   133    20   158 0.74 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10977at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10977at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10977at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:01 2026
# [ok]
