#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721120.1         -            177 13470at5820          -            123   5.6e-68  225.2   9.5   1   2     1e-21     3e-19   67.9   0.1     2    44     7    49     6    57 0.95 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723512.1         -           1079 13470at5820          -            123   1.6e-05   23.6   0.2   2   3         5   1.5e+03   -2.2   0.1    62    82   394   414   384   423 0.75 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723512.1         -           1079 13470at5820          -            123   1.6e-05   23.6   0.2   3   3       7.5   2.2e+03   -2.7   0.1    12    36   420   444   412   451 0.65 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 13470at5820          -            123   2.7e-05   22.8   0.1   1   1   1.6e-07   4.7e-05   22.0   0.1     1    44    77   120    77   149 0.77 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 13470at5820          -            123   2.9e-05   22.7   0.9   1   2   5.2e-07   0.00015   20.4   0.0     3    39     8    44     6    53 0.87 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 13470at5820          -            123   2.9e-05   22.7   0.9   2   2       1.9   5.4e+02   -0.8   0.2    53    78   233   257   222   264 0.70 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721341.1         -            380 13470at5820          -            123   3.6e-05   22.4   0.7   1   1   3.3e-07   9.8e-05   21.0   0.7     4    68    47   108    44   138 0.75 | transcript=PVPAM_110024400_t1 | gene=PVPAM_110024400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:833152-834294(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 13470at5820          -            123   3.6e-05   22.4   0.1   1   1   2.2e-07   6.4e-05   21.6   0.1     3    66     6    68     4    94 0.79 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 13470at5820          -            123   3.8e-05   22.3   1.2   1   3       1.9   5.7e+02   -0.8   0.1    63    87     4    28     2    33 0.88 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 13470at5820          -            123   3.8e-05   22.3   1.2   2   3   1.3e-07   3.8e-05   22.3   1.2     2    81   190   266   189   302 0.76 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 13470at5820          -            123   3.8e-05   22.3   1.2   3   3       2.1   6.3e+02   -1.0   0.3    29    60   298   329   271   373 0.65 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 13470at5820          -            123   0.00012   20.7   0.4   1   2   4.1e-07   0.00012   20.7   0.4     2    59    81   138    80   151 0.74 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 13470at5820          -            123   0.00012   20.7   0.4   2   2         5   1.5e+03   -2.2   0.0    74    91   306   323   300   325 0.76 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723521.1         -             84 13470at5820          -            123   0.00027   19.6   0.2   1   1   1.1e-06   0.00033   19.3   0.2    65   122    13    71     2    78 0.79 | transcript=PVPAM_140044500_t1 | gene=PVPAM_140044500 | organism=Plasmodium_vivax_PAM | gene_product=diphthamide biosynthesis protein 3, putative | transcript_product=diphthamide biosynthesis protein 3, putative | location=CASCJQ010000014:1652822-1653076(-) | protein_length=84 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720705.1         -           2780 13470at5820          -            123   0.00048   18.8   6.1   1   2       0.4   1.2e+02    1.4   0.7    74   113   913   952   895   959 0.81 | transcript=PVPAM_090047000_t1 | gene=PVPAM_090047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1897881-1906223(-) | protein_length=2780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720705.1         -           2780 13470at5820          -            123   0.00048   18.8   6.1   2   2   3.7e-06    0.0011   17.6   0.5     3    62  1320  1383  1318  1401 0.76 | transcript=PVPAM_090047000_t1 | gene=PVPAM_090047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1897881-1906223(-) | protein_length=2780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 13470at5820          -            123   0.00059   18.5   0.2   1   2     2e-06   0.00059   18.5   0.2     2    71    52   118    51   152 0.85 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 13470at5820          -            123   0.00059   18.5   0.2   2   2       3.7   1.1e+03   -1.8   0.2    78   117   178   219   160   261 0.63 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 13470at5820          -            123    0.0011   17.6   0.8   1   1   7.9e-06    0.0023   16.6   0.8     3    67    85   150    83   172 0.79 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 13470at5820          -            123     0.006   15.2   0.2   1   1   4.5e-05     0.013   14.1   0.2     4    67   295   356   292   407 0.76 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 13470at5820          -            123     0.028   13.1   0.4   1   3   9.6e-05     0.028   13.1   0.4     1    39    53    91    53   116 0.82 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 13470at5820          -            123     0.028   13.1   0.4   2   3       1.6   4.8e+02   -0.6   0.3    77   113   103   141    89   148 0.55 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 13470at5820          -            123     0.028   13.1   0.4   3   3       3.2   9.5e+02   -1.6   0.1     8    30   285   307   277   316 0.54 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719642.1         -            239 13470at5820          -            123     0.079   11.6   0.2   1   3       3.9   1.1e+03   -1.8   0.1   110   119    66    75    54    78 0.80 | transcript=PVPAM_070025600_t1 | gene=PVPAM_070025600 | organism=Plasmodium_vivax_PAM | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=CASCJQ010000007:916130-918363(-) | protein_length=239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719642.1         -            239 13470at5820          -            123     0.079   11.6   0.2   2   3   0.00027     0.079   11.6   0.2    15    66    98   150    87   168 0.70 | transcript=PVPAM_070025600_t1 | gene=PVPAM_070025600 | organism=Plasmodium_vivax_PAM | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=CASCJQ010000007:916130-918363(-) | protein_length=239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719642.1         -            239 13470at5820          -            123     0.079   11.6   0.2   3   3       4.4   1.3e+03   -2.0   0.1    53    65   215   227   190   234 0.55 | transcript=PVPAM_070025600_t1 | gene=PVPAM_070025600 | organism=Plasmodium_vivax_PAM | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=CASCJQ010000007:916130-918363(-) | protein_length=239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13470at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13470at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13470at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:26 2026
# [ok]
