#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722251.1         -            344 8432at5820           -            308  1.1e-198  656.9   4.4   1   1  2.2e-201  1.3e-198  656.6   4.4     1   308    16   339    16   339 0.97 | transcript=PVPAM_120048800_t1 | gene=PVPAM_120048800 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=CASCJQ010000012:1758240-1759708(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 8432at5820           -            308    0.0032   14.9   0.0   1   1     1e-05    0.0061   14.0   0.0    18    77   239   300   224   305 0.76 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 8432at5820           -            308    0.0042   14.5   0.1   1   2   0.00016     0.092   10.1   0.1    31    54   344   368   314   390 0.71 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 8432at5820           -            308    0.0042   14.5   0.1   2   2     0.047        28    2.0   0.0   116   142   406   433   394   444 0.79 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723281.1         -            420 8432at5820           -            308     0.011   13.2   0.2   1   2    0.0003      0.18    9.2   0.0    24    53   187   218   179   262 0.84 | transcript=PVPAM_140020000_t1 | gene=PVPAM_140020000 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=CASCJQ010000014:667717-669210(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723281.1         -            420 8432at5820           -            308     0.011   13.2   0.2   2   2     0.054        32    1.8   0.1   124   167   349   396   340   409 0.71 | transcript=PVPAM_140020000_t1 | gene=PVPAM_140020000 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=CASCJQ010000014:667717-669210(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 8432at5820           -            308     0.026   11.9   0.0   1   2    0.0025       1.5    6.2   0.0    34    54   513   533   502   539 0.87 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 8432at5820           -            308     0.026   11.9   0.0   2   2     0.023        14    3.0   0.0    34    55   833   854   823   865 0.83 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8432at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8432at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8432at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:05 2026
# [ok]
