#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719920.1         -            322 13693at5820          -            216  6.6e-126  416.7  40.0   1   1  3.2e-128  6.6e-126  416.7  40.0     1   215    84   309    84   311 0.97 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 13693at5820          -            216     2e-08   32.7   1.7   2   2   4.8e-06     0.001   17.3   0.4     6    85   106   184    99   199 0.87 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720963.1         -            314 13693at5820          -            216     4e-08   31.7   0.0   1   1   1.9e-10     4e-08   31.7   0.0     7    83     8    81     3   107 0.89 | transcript=PVPAM_100023100_t1 | gene=PVPAM_100023100 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=CASCJQ010000010:798029-799180(+) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719800.1         -            192 13693at5820          -            216   4.1e-08   31.7   0.7   1   2   1.6e-07   3.3e-05   22.2   0.3     7   104    10   109     7   118 0.80 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719800.1         -            192 13693at5820          -            216   4.1e-08   31.7   0.7   2   2    0.0033      0.68    8.1   0.0     7    67   120   174   114   183 0.85 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 13693at5820          -            216   1.3e-07   30.0   0.0   1   1   7.5e-10   1.6e-07   29.8   0.0     8    80    15    84    11   105 0.89 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723106.1         -            661 13693at5820          -            216   1.3e-07   30.0   0.1   1   3   6.4e-10   1.3e-07   30.0   0.1     3    84   162   246   160   261 0.84 | transcript=PVPAM_130061200_t1 | gene=PVPAM_130061200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=CASCJQ010000013:2473302-2476727(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723106.1         -            661 13693at5820          -            216   1.3e-07   30.0   0.1   2   3       4.4   9.3e+02   -2.1   0.0    19    55   287   322   264   332 0.74 | transcript=PVPAM_130061200_t1 | gene=PVPAM_130061200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=CASCJQ010000013:2473302-2476727(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723106.1         -            661 13693at5820          -            216   1.3e-07   30.0   0.1   3   3       4.6   9.5e+02   -2.2   1.3   141   199   336   394   325   409 0.51 | transcript=PVPAM_130061200_t1 | gene=PVPAM_130061200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=CASCJQ010000013:2473302-2476727(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 13693at5820          -            216   1.5e-07   29.9   0.6   1   2     0.038       7.9    4.6   0.5     7    63   100   155    96   173 0.83 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 13693at5820          -            216   1.5e-07   29.9   0.6   2   2     7e-10   1.5e-07   29.9   0.6     5    80   306   383   301   395 0.87 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721186.1         -            452 13693at5820          -            216     1e-06   27.2   0.1   1   1   4.8e-09     1e-06   27.2   0.1     6    84    97   174    91   190 0.89 | transcript=PVPAM_110008800_t1 | gene=PVPAM_110008800 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=CASCJQ010000011:144604-145962(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 13693at5820          -            216   1.3e-06   26.8  24.4   1   4       8.3   1.7e+03   -3.0   0.5    63    91    20    48     7    72 0.58 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 13693at5820          -            216   1.3e-06   26.8  24.4   2   4   5.6e-05     0.012   13.9   0.1     8    66    87   145    84   157 0.91 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 13693at5820          -            216   1.3e-06   26.8  24.4   3   4    0.0019      0.39    8.9   9.9     5    83   182   260   177   378 0.67 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 13693at5820          -            216   1.3e-06   26.8  24.4   4   4   9.5e-05      0.02   13.1   0.1    18    87   409   478   396   488 0.86 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723234.1         -            505 13693at5820          -            216   1.6e-06   26.5   7.8   1   2   2.8e-05    0.0058   14.9   2.3     7    84   227   305   225   408 0.79 | transcript=PVPAM_140015300_t1 | gene=PVPAM_140015300 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=CASCJQ010000014:489481-491318(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723234.1         -            505 13693at5820          -            216   1.6e-06   26.5   7.8   2   2   6.9e-05     0.014   13.6   0.3     8    85   434   505   430   505 0.91 | transcript=PVPAM_140015300_t1 | gene=PVPAM_140015300 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=CASCJQ010000014:489481-491318(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 13693at5820          -            216   1.6e-06   26.5   0.8   1   3       7.1   1.5e+03   -2.8   7.1   182   215    19    52     7    81 0.59 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 13693at5820          -            216   1.6e-06   26.5   0.8   2   3   2.3e-06   0.00049   18.4   0.2    10    90   121   194   113   203 0.78 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 13693at5820          -            216   1.6e-06   26.5   0.8   3   3   4.3e-05    0.0089   14.3   0.0     9    88   204   281   199   289 0.80 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721102.1         -            328 13693at5820          -            216   2.8e-06   25.7  50.3   1   1   1.4e-08   2.8e-06   25.7  50.3     4   205     9   221     6   226 0.64 | transcript=PVPAM_100037000_t1 | gene=PVPAM_100037000 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=CASCJQ010000010:1378622-1379608(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721256.1         -            181 13693at5820          -            216   1.1e-05   23.8   1.2   1   1   5.1e-08   1.1e-05   23.8   1.2     9    84    52   127    46   140 0.91 | transcript=PVPAM_110015800_t1 | gene=PVPAM_110015800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:440296-441618(+) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721474.1         -            153 13693at5820          -            216   1.1e-05   23.8   0.3   1   2         6   1.2e+03   -2.6  15.8   133   185     6    59     1    64 0.67 | transcript=PVPAM_110037900_t1 | gene=PVPAM_110037900 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=CASCJQ010000011:1378019-1379455(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721474.1         -            153 13693at5820          -            216   1.1e-05   23.8   0.3   2   2   5.3e-08   1.1e-05   23.8   0.3    10    86    64   139    60   148 0.89 | transcript=PVPAM_110037900_t1 | gene=PVPAM_110037900 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=CASCJQ010000011:1378019-1379455(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 13693at5820          -            216     3e-05   22.3   2.7   1   2       0.2        41    2.3   0.1    11    70   407   463   394   477 0.73 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 13693at5820          -            216     3e-05   22.3   2.7   2   2   1.4e-06    0.0003   19.1   0.3     7    84   668   744   664   746 0.85 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 13693at5820          -            216    0.0002   19.6   0.1   1   2   9.6e-07    0.0002   19.6   0.1     9    93    31   115    24   131 0.88 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 13693at5820          -            216    0.0002   19.6   0.1   2   2       4.4   9.1e+02   -2.1   1.7   108   150   164   207   149   222 0.47 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719174.1         -           1549 13693at5820          -            216   0.00029   19.1  13.0   1   2      0.35        73    1.5   0.2     8    69   328   386   323   396 0.77 | transcript=PVPAM_060018100_t1 | gene=PVPAM_060018100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=CASCJQ010000006:567674-572458(+) | protein_length=1549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719174.1         -           1549 13693at5820          -            216   0.00029   19.1  13.0   2   2   2.1e-06   0.00044   18.5   0.0     6    87   430   515   426   524 0.80 | transcript=PVPAM_060018100_t1 | gene=PVPAM_060018100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=CASCJQ010000006:567674-572458(+) | protein_length=1549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 13693at5820          -            216   0.00032   19.0   0.0   1   1   1.9e-06    0.0004   18.7   0.0     7    89    71   152    65   202 0.83 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
