#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718501.1         -            245 12757at5820          -            176  5.3e-110  363.6  18.5   1   2   5.6e-34   2.1e-31  107.7   1.5     1    56     1    56     1    70 0.96 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719471.1         -            206 12757at5820          -            176   2.2e-30  104.3   1.2   1   1   7.7e-33   2.9e-30  104.0   1.2     3   166     5   176     2   182 0.90 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721950.1         -            229 12757at5820          -            176   2.7e-29  100.8   0.3   1   1     1e-31   3.9e-29  100.3   0.3     5   171     8   182     4   186 0.90 | transcript=PVPAM_120018600_t1 | gene=PVPAM_120018600 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=CASCJQ010000012:585822-587159(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720460.1         -            214 12757at5820          -            176   1.7e-20   72.1   0.0   1   1   5.9e-23   2.2e-20   71.8   0.0     6   164     9   167     4   195 0.93 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721878.1         -            224 12757at5820          -            176   4.7e-06   25.1   0.6   1   2      0.24        91    1.4   0.2   113   164    22    76     9    84 0.74 | transcript=PVPAM_120011200_t1 | gene=PVPAM_120011200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=CASCJQ010000012:255844-257982(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721878.1         -            224 12757at5820          -            176   4.7e-06   25.1   0.6   2   2   1.2e-08   4.7e-06   25.1   0.6    78   167   110   206    97   213 0.80 | transcript=PVPAM_120011200_t1 | gene=PVPAM_120011200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=CASCJQ010000012:255844-257982(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 12757at5820          -            176   6.7e-06   24.6   0.0   1   1     2e-08   7.6e-06   24.4   0.0     6   121    17   130    12   176 0.69 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 12757at5820          -            176   7.2e-06   24.5   1.5   1   1   2.2e-08   8.4e-06   24.3   1.5     9   141    20   146    14   177 0.73 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 12757at5820          -            176   0.00025   19.5   1.4   1   1   9.2e-07   0.00035   19.0   1.4     2   165    12   178    11   184 0.73 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 12757at5820          -            176     0.051   12.0   0.0   1   1   0.00018     0.069   11.5   0.0    11   122    25   134    17   164 0.74 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12757at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12757at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12757at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:48 2026
# [ok]
