#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720325.1         -            491 5577at5820           -            435  5.7e-261  864.6  20.8   1   2  2.2e-153    2e-150  500.3   2.5     1   237     1   252     1   266 0.95 | transcript=PVPAM_090009100_t1 | gene=PVPAM_090009100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:277737-279212(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721084.1         -            603 5577at5820           -            435   7.7e-19   66.8  23.1   2   2   4.8e-18   4.4e-15   54.4  16.6    93   434   269   603   241   603 0.76 | transcript=PVPAM_100035200_t1 | gene=PVPAM_100035200 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000010:1286394-1288205(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 5577at5820           -            435   3.8e-13   48.0   0.1   1   3      0.26   2.4e+02   -0.8   0.0     6    40     4    38     2    65 0.87 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 5577at5820           -            435   3.8e-13   48.0   0.1   2   3   2.2e-14     2e-11   42.3   0.1    97   246    83   235    70   242 0.83 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 5577at5820           -            435   3.8e-13   48.0   0.1   3   3     0.036        34    2.0   0.0   347   427   285   367   264   374 0.74 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5577at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5577at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5577at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:22 2026
# [ok]
