#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722759.1         -            245 11733at5820          -            216  2.5e-136  450.8  10.5   1   1  1.1e-138  3.5e-136  450.3  10.5     1   216     3   237     3   237 0.97 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720377.1         -            549 11733at5820          -            216     1e-12   46.8   2.4   2   2       5.1   1.6e+03   -2.8   0.0   155   192   213   257   205   275 0.59 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 11733at5820          -            216   1.5e-12   46.2   0.7   1   1   1.6e-14     5e-12   44.5   0.7     4    68   294   360   291   367 0.86 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 11733at5820          -            216   1.9e-12   45.9   1.7   1   2   7.9e-15   2.4e-12   45.6   0.4     3    73    26    94    24   107 0.86 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 11733at5820          -            216   1.9e-12   45.9   1.7   2   2       5.5   1.7e+03   -3.0   0.0   161   192   201   232   186   248 0.59 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 11733at5820          -            216   2.3e-12   45.7   0.4   1   2       2.6     8e+02   -1.9   0.2    55    83   124   153   116   159 0.74 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 11733at5820          -            216   2.3e-12   45.7   0.4   2   2   7.3e-15   2.3e-12   45.7   0.4     4    70   191   258   188   278 0.85 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 11733at5820          -            216   1.1e-11   43.4   0.3   1   1   6.4e-14     2e-11   42.6   0.3     4    69    55   121    52   158 0.83 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 11733at5820          -            216   2.7e-11   42.1   0.6   1   1   2.5e-13   7.6e-11   40.7   0.6     4    64     8    75     5    81 0.84 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 11733at5820          -            216   1.9e-10   39.3   5.4   1   1   1.2e-12   3.8e-10   38.4   5.4     3   114   111   227   109   250 0.74 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718786.1         -            691 11733at5820          -            216   5.9e-10   37.8   1.1   1   1   4.2e-12   1.3e-09   36.6   1.1     3    65   141   205   139   226 0.88 | transcript=PVPAM_050018000_t1 | gene=PVPAM_050018000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000005:588880-590955(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 11733at5820          -            216   6.4e-10   37.7   0.1   1   1   4.2e-12   1.3e-09   36.7   0.1     8    68   133   195   127   199 0.82 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 11733at5820          -            216   4.8e-09   34.8   1.1   1   1     3e-11   9.1e-09   33.9   1.1     1    71    50   121    50   134 0.86 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 11733at5820          -            216   3.1e-05   22.3   6.4   1   2     1e-07   3.1e-05   22.3   6.4     3    79     1    82     1   106 0.64 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 11733at5820          -            216   3.1e-05   22.3   6.4   2   2       3.1   9.7e+02   -2.2   3.7    74    83    88    97    75   152 0.61 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720716.1         -            321 11733at5820          -            216    0.0051   15.1   0.5   1   1     3e-05    0.0091   14.3   0.5     4    69    36    97    33   115 0.75 | transcript=PVPAM_090048100_t1 | gene=PVPAM_090048100 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1949700-1950811(+) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723237.1         -            337 11733at5820          -            216     0.013   13.7   0.8   1   2   4.3e-05     0.013   13.7   0.8     9    69   121   183   113   199 0.75 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723237.1         -            337 11733at5820          -            216     0.013   13.7   0.8   2   2      0.45   1.4e+02    0.6   2.0    31    62   304   336   272   337 0.67 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11733at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11733at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11733at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:29 2026
# [ok]
