#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722158.1         -           1591 1518at5820           -           1119         0 1805.4 101.4   1   7  1.1e-101   2.3e-98  329.0  35.7     1   200    31   250    31   259 0.90 | transcript=PVPAM_120039600_t1 | gene=PVPAM_120039600 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000012:1364179-1369068(-) | protein_length=1591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719698.1         -            448 1518at5820           -           1119   0.00013   18.5  11.1   3   3   1.1e-05     0.024   11.0   0.2   828   897   191   263   186   274 0.82 | transcript=PVPAM_070031200_t1 | gene=PVPAM_070031200 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=CASCJQ010000007:1127941-1129287(-) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1518at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1518at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1518at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:17 2026
# [ok]
