#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723380.1         -            297 9909at5820           -            251  5.9e-144  476.4  42.4   1   2   9.6e-28   5.2e-25   86.8   8.2     1    59     7    68     7    73 0.86 | transcript=PVPAM_140029900_t1 | gene=PVPAM_140029900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=CASCJQ010000014:1083862-1086487(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719773.1         -            525 9909at5820           -            251     5e-12   44.2   6.6   1   1   1.6e-14   8.7e-12   43.4   6.6    89   215   281   418   269   426 0.67 | transcript=PVPAM_070038700_t1 | gene=PVPAM_070038700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=CASCJQ010000007:1411119-1414091(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 9909at5820           -            251   2.4e-10   38.7  13.7   1   2     1e-12   5.5e-10   37.5  11.4   106   205   437   532   424   570 0.70 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 9909at5820           -            251   2.4e-10   38.7  13.7   2   2      0.18        97    0.7   0.1   199   236   563   598   556   605 0.74 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718586.1         -            287 9909at5820           -            251   5.8e-10   37.5  11.7   1   2   1.1e-12   5.8e-10   37.5  11.7   105   161   101   157    93   186 0.76 | transcript=PVPAM_040033100_t1 | gene=PVPAM_040033100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=CASCJQ010000004:1158820-1161025(-) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718586.1         -            287 9909at5820           -            251   5.8e-10   37.5  11.7   2   2      0.89   4.8e+02   -1.6   2.4   132   179   192   239   162   274 0.51 | transcript=PVPAM_040033100_t1 | gene=PVPAM_040033100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=CASCJQ010000004:1158820-1161025(-) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719233.1         -            281 9909at5820           -            251     6e-07   27.6  16.5   1   2     0.066        35    2.1   0.9    46    92    15    61    10    67 0.56 | transcript=PVPAM_060024000_t1 | gene=PVPAM_060024000 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=CASCJQ010000006:811347-814019(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719233.1         -            281 9909at5820           -            251     6e-07   27.6  16.5   2   2   1.1e-09     6e-07   27.6  16.5    96   215   105   229    58   253 0.71 | transcript=PVPAM_060024000_t1 | gene=PVPAM_060024000 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=CASCJQ010000006:811347-814019(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9909at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:13 2026
# [ok]
