#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718230.1         -            649 6276at5820           -            493  1.3e-266  883.3   2.5   1   2  4.7e-263  3.8e-260  861.9   0.0     2   458    10   520     9   536 0.96 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 6276at5820           -            493    0.0071   13.4   0.1   3   3    0.0027       2.2    5.2   0.1   292   321   331   363   328   372 0.76 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 6276at5820           -            493    0.0094   13.0   0.1   1   1   1.8e-05     0.014   12.4   0.1   266   319   344   401   326   410 0.82 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 6276at5820           -            493     0.076   10.0  13.6   1   3      0.16   1.3e+02   -0.7   0.0   283   307   369   393   363   402 0.85 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 6276at5820           -            493     0.076   10.0  13.6   2   3    0.0008      0.64    6.9   2.1   274   331   392   460   374   464 0.69 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 6276at5820           -            493     0.076   10.0  13.6   3   3   0.00033      0.27    8.2   5.5   282   392   451   563   450   570 0.83 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6276at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6276at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6276at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:46 2026
# [ok]
