#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722834.1         -            953 7873at5820           -            702    2e-256  851.2   0.1   1   2   4.9e-76   2.2e-73  246.2   0.1     2   233    11   288    10   318 0.78 | transcript=PVPAM_130033600_t1 | gene=PVPAM_130033600 | organism=Plasmodium_vivax_PAM | gene_product=surface-related antigen SRA, putative | transcript_product=surface-related antigen SRA, putative | location=CASCJQ010000013:1302763-1305935(+) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 7873at5820           -            702       4.3    3.9  17.2   1   1     0.018       8.4    3.0  17.2   436   545   629   731   611   753 0.50 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719313.1         -            389 7873at5820           -            702       5.7    3.5  10.7   1   1     0.019         9    2.9  10.7   140   198   269   326   248   354 0.44 | transcript=PVPAM_060032000_t1 | gene=PVPAM_060032000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:1097936-1099105(+) | protein_length=389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720476.1         -            316 7873at5820           -            702       9.6    2.8  25.8   1   1     0.032        15    2.2  25.8   455   555   188   289   180   309 0.58 | transcript=PVPAM_090024100_t1 | gene=PVPAM_090024100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=CASCJQ010000009:871813-872763(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7873at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:13 2026
# [ok]
