#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721966.1         -            571 5037at5820           -            422  1.1e-217  721.4  33.1   1   3     0.051        33    1.7   0.0     7    47    28    74    25   101 0.60 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5037at5820           -            422   6.6e-38  129.2  50.3   4   4   3.5e-06    0.0023   15.4   0.2   128   168   511   550   495   574 0.84 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 5037at5820           -            422   1.6e-37  127.9  64.6   1   3   2.7e-07   0.00018   19.0   5.2   344   404   208   270   182   277 0.79 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 5037at5820           -            422   1.6e-37  127.9  64.6   2   3   5.9e-24   3.8e-21   73.9  24.2   227   404   214   397   210   401 0.87 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 5037at5820           -            422   1.6e-37  127.9  64.6   3   3   9.7e-21   6.3e-18   63.3  19.2   237   404   358   518   356   531 0.89 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 5037at5820           -            422     5e-32  109.8  26.0   1   4     5e-08   3.2e-05   21.5   0.5   345   403    32    91    26    93 0.76 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 5037at5820           -            422     5e-32  109.8  26.0   2   4   4.4e-10   2.8e-07   28.2   4.3   109   169    93   153    91   157 0.64 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 5037at5820           -            422     5e-32  109.8  26.0   3   4     5e-11   3.2e-08   31.4   1.2   283   362   156   232   153   239 0.91 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 5037at5820           -            422     5e-32  109.8  26.0   4   4   9.7e-15   6.2e-12   43.6   0.8   236   350   240   349   233   359 0.92 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 5037at5820           -            422     6e-20   70.0  45.3   1   3   2.9e-08   1.9e-05   22.3   9.8   106   194    79   175    23   178 0.56 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 5037at5820           -            422     6e-20   70.0  45.3   2   3   2.5e-08   1.6e-05   22.5   8.0   104   194   149   236   145   237 0.81 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 5037at5820           -            422     6e-20   70.0  45.3   3   3   1.9e-13   1.3e-10   39.3  21.6   229   362   222   355   216   420 0.79 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721332.1         -            282 5037at5820           -            422   1.6e-11   42.2  13.8   1   2   3.2e-09   2.1e-06   25.4  10.1    13   168    29   187    20   194 0.77 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721332.1         -            282 5037at5820           -            422   1.6e-11   42.2  13.8   2   2   5.7e-07   0.00037   18.0   0.1   289   339   197   245   191   252 0.93 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720828.1         -            250 5037at5820           -            422   1.9e-09   35.4  13.5   1   1   2.3e-11   1.5e-08   32.5  13.5    99   221    83   223    70   231 0.73 | transcript=PVPAM_100009300_t1 | gene=PVPAM_100009300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000010:217576-219702(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721390.1         -            185 5037at5820           -            422   3.3e-05   21.4   5.8   1   1   9.4e-08   6.1e-05   20.6   5.4   197   277    70   154    64   184 0.71 | transcript=PVPAM_110029300_t1 | gene=PVPAM_110029300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:1053032-1054797(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719729.1         -            144 5037at5820           -            422     0.047   11.0   1.3   1   1   9.8e-05     0.063   10.6   1.3    21   107    10    97     2   103 0.85 | transcript=PVPAM_070034300_t1 | gene=PVPAM_070034300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1245499-1246498(-) | protein_length=144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5037at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5037at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5037at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:10 2026
# [ok]
