#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721612.1         -           1390 1404at5820           -            988         0 1966.0  62.9   1   6     0.023        19    1.4   0.5     1    19     5    21     5    31 0.80 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1404at5820           -            988   1.3e-29  101.2  53.4   2   6      0.12        98   -1.0   0.0    93   126   365   399   342   404 0.75 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1404at5820           -            988   1.3e-29  101.2  53.4   3   6     8e-05     0.065    9.5   2.5   135   275   528   689   512   717 0.64 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1404at5820           -            988   1.3e-29  101.2  53.4   4   6   4.9e-09     4e-06   23.5   9.8   293   596   680   991   671  1000 0.71 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1404at5820           -            988   1.3e-29  101.2  53.4   5   6   1.3e-13   1.1e-10   38.6   0.1   102   220  1411  1542  1390  1647 0.84 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1404at5820           -            988   1.3e-29  101.2  53.4   6   6   5.9e-16   4.8e-13   46.4   9.7   386   598  1774  1984  1743  1996 0.75 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1404at5820           -            988   4.8e-25   86.1   8.9   1   3   6.1e-11     5e-08   29.8   0.5   101   221   712   853   697   865 0.70 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1404at5820           -            988   4.8e-25   86.1   8.9   2   3   3.8e-15   3.1e-12   43.7   0.9   301   485   984  1165   969  1197 0.80 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1404at5820           -            988   4.8e-25   86.1   8.9   3   3   1.3e-06     0.001   15.5   0.0   384   482  2054  2153  2046  2185 0.86 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1404at5820           -            988   1.3e-08   31.7   1.6   1   3    0.0022       1.8    4.8   0.0   102   165   160   223   131   248 0.78 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1404at5820           -            988   1.3e-08   31.7   1.6   2   3      0.49   3.9e+02   -3.0   0.0   200   226   334   360   331   392 0.62 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 1404at5820           -            988   1.3e-08   31.7   1.6   3   3   1.9e-09   1.6e-06   24.8   0.5   276   475   455   651   443   674 0.71 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1404at5820           -            988   2.1e-08   31.0   0.1   1   3   0.00019      0.15    8.3   0.7   111   248   265   423   258   444 0.58 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1404at5820           -            988   2.1e-08   31.0   0.1   2   3   2.5e-11   2.1e-08   31.0   0.1   333   471   484   620   476   629 0.88 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722043.1         -           1164 1404at5820           -            988   2.1e-08   31.0   0.1   3   3       2.6   2.1e+03   -5.4   2.2   709   766  1065  1126  1042  1159 0.61 | transcript=PVPAM_120028100_t2 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1404at5820           -            988   2.1e-08   31.0   0.1   1   3    0.0002      0.16    8.2   0.7   111   248   265   423   258   444 0.58 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1404at5820           -            988   2.1e-08   31.0   0.1   2   3   2.6e-11   2.1e-08   31.0   0.1   333   471   484   620   476   629 0.88 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722042.1         -           1185 1404at5820           -            988   2.1e-08   31.0   0.1   3   3       2.6   2.1e+03   -5.4   2.2   709   766  1086  1147  1063  1180 0.61 | transcript=PVPAM_120028100_t1 | gene=PVPAM_120028100 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=CASCJQ010000012:894977-900330(+) | protein_length=1185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721396.1         -            862 1404at5820           -            988   3.2e-08   30.4   0.0   1   2     0.052        42    0.2   0.0   134   233   236   326   214   340 0.75 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721396.1         -            862 1404at5820           -            988   3.2e-08   30.4   0.0   2   2   3.2e-10   2.6e-07   27.4   0.0   422   471   449   498   443   510 0.93 | transcript=PVPAM_110029900_t1 | gene=PVPAM_110029900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=CASCJQ010000011:1081604-1084328(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1404at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1404at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1404at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:17 2026
# [ok]
