#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719750.1         -           1718 1702at5820           -           1168         0 1486.0 180.7   1   7   6.5e-82   8.4e-79  264.0   8.9     1   182     1   211     1   219 0.87 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718549.1         -            390 1702at5820           -           1168      0.38    6.9   3.4   1   1   0.00036      0.46    6.6   3.4  1107  1158   324   381   316   390 0.62 | transcript=PVPAM_040029300_t1 | gene=PVPAM_040029300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 5 | transcript_product=merozoite surface protein 5 | location=CASCJQ010000004:1023978-1025460(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1702at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1702at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1702at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:13 2026
# [ok]
