#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723408.1         -            943 4272at5820           -            672         0 1062.7  49.0   1   5   7.4e-21     4e-18   63.5   0.2     7    73    11    79     3    87 0.89 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4272at5820           -            672   7.1e-09   33.0   3.8   3   4    0.0043       2.3    4.8   2.4   358   397   462   501   450   512 0.88 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4272at5820           -            672   7.1e-09   33.0   3.8   4   4       1.1   5.9e+02   -3.1   6.3    34   121   668   760   661   795 0.62 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722175.1         -            443 4272at5820           -            672   5.3e-08   30.1   2.6   1   1   1.9e-10     1e-07   29.1   2.6   547   640   341   434   331   442 0.81 | transcript=PVPAM_120041300_t1 | gene=PVPAM_120041300 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000012:1426294-1427794(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719253.1         -            441 4272at5820           -            672   1.1e-07   29.0   8.6   1   3     0.017       9.4    2.8   0.0   186   233    69   116    52   132 0.62 | transcript=PVPAM_060026000_t1 | gene=PVPAM_060026000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000006:877027-878352(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719253.1         -            441 4272at5820           -            672   1.1e-07   29.0   8.6   2   3   0.00029      0.15    8.7   4.3   319   421   130   230   116   242 0.80 | transcript=PVPAM_060026000_t1 | gene=PVPAM_060026000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000006:877027-878352(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719253.1         -            441 4272at5820           -            672   1.1e-07   29.0   8.6   3   3     3e-07   0.00016   18.6   0.2   476   608   258   390   246   435 0.85 | transcript=PVPAM_060026000_t1 | gene=PVPAM_060026000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000006:877027-878352(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 4272at5820           -            672   1.5e-06   25.3   1.2   1   2      0.11        60    0.2   5.5   313   390   390   466   376   476 0.85 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 4272at5820           -            672   1.5e-06   25.3   1.2   2   2   2.7e-09   1.5e-06   25.3   1.2   292   389   483   580   468   597 0.79 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719201.1         -            446 4272at5820           -            672   6.1e-06   23.3   2.1   1   2   0.00032      0.17    8.6   0.1   330   379    61   110    47   119 0.88 | transcript=PVPAM_060020800_t1 | gene=PVPAM_060020800 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000006:683043-685057(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719201.1         -            446 4272at5820           -            672   6.1e-06   23.3   2.1   2   2   6.5e-06    0.0035   14.2   0.2   497   606   329   437   325   440 0.93 | transcript=PVPAM_060020800_t1 | gene=PVPAM_060020800 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000006:683043-685057(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 4272at5820           -            672   9.3e-06   22.7  27.0   1   4      0.16        84   -0.3   0.1   291   340   161   216   145   236 0.57 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 4272at5820           -            672   9.3e-06   22.7  27.0   2   4   1.2e-07   6.7e-05   19.8   9.5   212   385   237   411   225   416 0.92 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 4272at5820           -            672   9.3e-06   22.7  27.0   3   4   1.2e-05    0.0065   13.3   7.9   234   380   335   480   321   498 0.89 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 4272at5820           -            672   9.3e-06   22.7  27.0   4   4     0.002       1.1    5.9   7.4   215   354   426   571   422   592 0.66 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 4272at5820           -            672    0.0021   14.9   0.2   1   8         2   1.1e+03   -3.9   0.2   216   260   121   165    77   188 0.48 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 4272at5820           -            672    0.0021   14.9   0.2   2   8     0.011       5.9    3.5   0.0   216   244   293   321   249   330 0.84 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 4272at5820           -            672    0.0021   14.9   0.2   3   8    0.0013      0.68    6.6   1.8   215   308   401   494   398   502 0.91 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 4272at5820           -            672    0.0021   14.9   0.2   4   8     0.013       7.2    3.2   0.1   212   251   517   556   498   560 0.84 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 4272at5820           -            672    0.0021   14.9   0.2   5   8    0.0017      0.91    6.2   0.5   324   385   632   693   612   708 0.82 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 4272at5820           -            672    0.0021   14.9   0.2   6   8       0.1        54    0.3   6.4   213   308   706   799   691   805 0.84 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 4272at5820           -            672    0.0021   14.9   0.2   7   8     0.047        25    1.4   0.3   450   537   854   941   843   953 0.80 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 4272at5820           -            672    0.0021   14.9   0.2   8   8   3.9e-06    0.0021   14.9   0.2   548   605  1023  1080  1019  1091 0.90 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718162.1         -            360 4272at5820           -            672    0.0083   12.9   0.7   1   1   2.1e-05     0.011   12.5   0.7   491   571   156   235   141   239 0.90 | transcript=PVPAM_030016200_t1 | gene=PVPAM_030016200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:484349-485431(-) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 4272at5820           -            672       2.3    4.8  17.0   1   4    0.0062       3.3    4.3   0.0   327   351   197   221   186   244 0.75 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 4272at5820           -            672       2.3    4.8  17.0   2   4     0.014       7.4    3.2   4.3   238   287   341   389   333   403 0.78 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 4272at5820           -            672       2.3    4.8  17.0   3   4    0.0081       4.4    3.9   0.3   215   265   393   445   390   450 0.84 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 4272at5820           -            672       2.3    4.8  17.0   4   4      0.18        97   -0.5   0.1   224   248   563   587   551   639 0.64 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4272at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4272at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4272at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:59 2026
# [ok]
