#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723278.1         -            524 5218at5820           -            473  7.6e-268  887.6  35.8   1   1  2.9e-270  1.2e-267  886.9  35.8     1   473     5   524     5   524 0.95 | transcript=PVPAM_140019700_t1 | gene=PVPAM_140019700 | organism=Plasmodium_vivax_PAM | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=CASCJQ010000014:659160-660734(-) | protein_length=524 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 5218at5820           -            473   2.8e-10   38.3   8.2   1   4   1.3e-10   5.2e-08   30.8   0.3   179   283    46   143    32   150 0.88 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 5218at5820           -            473   2.8e-10   38.3   8.2   2   4      0.42   1.7e+02   -0.6   0.1   268   275   274   281   208   361 0.53 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 5218at5820           -            473   2.8e-10   38.3   8.2   3   4      0.46   1.9e+02   -0.7   0.0   291   316   340   365   307   377 0.71 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 5218at5820           -            473   2.8e-10   38.3   8.2   4   4   0.00028      0.11    9.9   0.3   201   232   382   413   371   432 0.81 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 5218at5820           -            473   4.8e-09   34.2  28.8   1   4       7.9   3.2e+03   -4.8   7.1    40   134    69   168    57   220 0.65 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 5218at5820           -            473   4.8e-09   34.2  28.8   2   4   1.9e-08   7.9e-06   23.6   2.7   172   294   254   368   243   372 0.88 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 5218at5820           -            473   4.8e-09   34.2  28.8   3   4   1.7e-07   6.8e-05   20.5   0.2   259   352   375   476   367   483 0.77 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 5218at5820           -            473   4.8e-09   34.2  28.8   4   4   0.00097      0.39    8.1   0.5   199   278   490   574   482   581 0.84 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 5218at5820           -            473   5.2e-09   34.1   0.4   1   2   0.00082      0.33    8.3   0.0   245   350     6   119     1   141 0.75 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 5218at5820           -            473   5.2e-09   34.1   0.4   2   2   1.1e-08   4.4e-06   24.4   0.1   258   327   151   223   124   248 0.82 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 5218at5820           -            473   1.9e-08   32.2   8.7   1   3   1.1e-05    0.0046   14.5   0.1   256   356    89   194    62   220 0.60 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 5218at5820           -            473   1.9e-08   32.2   8.7   2   3   6.5e-06    0.0026   15.3   1.5   234   353   353   478   347   482 0.81 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 5218at5820           -            473   1.9e-08   32.2   8.7   3   3    0.0062       2.5    5.5   0.1   243   319   489   568   480   579 0.72 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720497.1         -            555 5218at5820           -            473   3.4e-08   31.4  14.2   1   3   4.1e-05     0.017   12.6   0.1   290   359    52   128    46   131 0.78 | transcript=PVPAM_090026200_t1 | gene=PVPAM_090026200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:963380-965161(+) | protein_length=555 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720497.1         -            555 5218at5820           -            473   3.4e-08   31.4  14.2   2   3   1.4e-05    0.0058   14.1   1.8   283   354   163   239   133   249 0.74 | transcript=PVPAM_090026200_t1 | gene=PVPAM_090026200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:963380-965161(+) | protein_length=555 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720497.1         -            555 5218at5820           -            473   3.4e-08   31.4  14.2   3   3   0.00012     0.048   11.1   1.7   243   321   323   407   297   461 0.69 | transcript=PVPAM_090026200_t1 | gene=PVPAM_090026200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:963380-965161(+) | protein_length=555 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 5218at5820           -            473   2.4e-05   22.0  22.6   1   3    0.0039       1.6    6.1   5.3     6   175   284   468   281   476 0.62 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 5218at5820           -            473   2.4e-05   22.0  22.6   2   3   2.6e-06    0.0011   16.6   5.5   202   391   941  1083   887  1108 0.52 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 5218at5820           -            473   2.4e-05   22.0  22.6   3   3    0.0039       1.6    6.1   0.1   259   296  1123  1160  1112  1191 0.75 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 5218at5820           -            473   2.5e-05   22.0   8.7   1   3      0.45   1.8e+02   -0.7   0.0   282   353    80   156    76   175 0.65 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 5218at5820           -            473   2.5e-05   22.0   8.7   2   3   1.9e-07   7.5e-05   20.4   4.8   225   326   198   297   165   303 0.82 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 5218at5820           -            473   2.5e-05   22.0   8.7   3   3     0.081        33    1.8   0.0   261   289   323   351   316   395 0.84 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 5218at5820           -            473   0.00017   19.2   0.4   1   2   0.00052      0.21    9.0   0.4   244   290  1714  1760  1709  1845 0.65 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 5218at5820           -            473   0.00017   19.2   0.4   2   2    0.0016      0.63    7.4   0.0   211   277  1917  1977  1907  1979 0.80 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721552.1         -            361 5218at5820           -            473    0.0017   15.9   0.1   1   1   6.6e-06    0.0026   15.3   0.1   252   336   195   284   171   302 0.73 | transcript=PVPAM_110045700_t1 | gene=PVPAM_110045700 | organism=Plasmodium_vivax_PAM | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=CASCJQ010000011:1691106-1693660(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 5218at5820           -            473    0.0019   15.7   3.7   1   3       2.7   1.1e+03   -3.2   0.0   295   319   117   141   110   145 0.65 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 5218at5820           -            473    0.0019   15.7   3.7   2   3      0.23        93    0.3   0.2   207   281   227   251   214   284 0.60 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 5218at5820           -            473    0.0019   15.7   3.7   3   3   8.7e-06    0.0035   14.9   0.2   216   319   296   401   287   410 0.87 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 5218at5820           -            473    0.0069   13.9   3.5   1   3       0.2        82    0.5   0.1   201   286   257   338   233   376 0.59 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 5218at5820           -            473    0.0069   13.9   3.5   2   3   5.5e-05     0.022   12.2   0.3   250   328   344   425   325   462 0.76 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 5218at5820           -            473    0.0069   13.9   3.5   3   3      0.13        54    1.1   0.1   284   315   463   497   430   498 0.70 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723626.1         -           3000 5218at5820           -            473     0.056   10.9   0.2   1   1   0.00026       0.1   10.0   0.2   305   390   126   216    68   226 0.68 | transcript=PVPAM_140055000_t1 | gene=PVPAM_140055000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2149347-2158349(-) | protein_length=3000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5218at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5218at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5218at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:52 2026
# [ok]
