#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723454.1         -            303 8695at5820           -            275    2e-171  566.9   9.3   1   1  3.5e-174  2.3e-171  566.7   9.3     1   275     1   291     1   291 0.97 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 8695at5820           -            275   0.00027   18.7   5.4   2   2      0.06        39    1.8   0.3   180   197   721   738   698   822 0.70 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720153.1         -            197 8695at5820           -            275    0.0044   14.8   1.7   1   1   1.1e-05    0.0069   14.1   1.7    23    90   117   183   110   190 0.87 | transcript=PVPAM_080037500_t1 | gene=PVPAM_080037500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000008:1476031-1476816(-) | protein_length=197 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721472.1         -           1387 8695at5820           -            275      0.33    8.6   4.6   1   2   0.00035      0.23    9.1   2.0    44   142   783   883   777   891 0.78 | transcript=PVPAM_110037700_t1 | gene=PVPAM_110037700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=CASCJQ010000011:1368676-1372839(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721472.1         -           1387 8695at5820           -            275      0.33    8.6   4.6   2   2         2   1.3e+03   -3.2   0.0   213   234  1282  1303  1278  1326 0.67 | transcript=PVPAM_110037700_t1 | gene=PVPAM_110037700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=CASCJQ010000011:1368676-1372839(+) | protein_length=1387 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8695at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8695at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8695at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:08 2026
# [ok]
