#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723711.1         -            631 4970at5820           -            546         0 1086.3  47.1   1   3  1.3e-171  1.4e-168  560.4  13.7     1   260     1   263     1   270 0.99 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 4970at5820           -            546   2.9e-24   84.1   5.1   2   2     0.026        28    1.6   0.1   397   417   306   326   228   336 0.71 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 4970at5820           -            546   9.1e-21   72.6   3.6   1   1   1.4e-23   1.5e-20   71.9   3.6    14   169    98   257    89   262 0.92 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 4970at5820           -            546     1e-09   36.1   0.1   1   1   1.5e-12   1.6e-09   35.4   0.1     7    98   747   844   741   864 0.88 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4970at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4970at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4970at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:52 2026
# [ok]
