#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   1  17     3e-83   1.9e-79  266.3   0.4     2   173    34   213    33   222 0.92 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3  12  17   4.7e-14   3.1e-10   36.9   0.1   908   946  1490  1528  1486  1535 0.94 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3  13  17   1.6e-19     1e-15   55.1   0.0   958  1026  1602  1675  1596  1679 0.92 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3  14  17     0.019   1.3e+02   -1.5   0.0  1031  1047  1744  1760  1741  1771 0.85 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3  15  17   6.3e-57   4.1e-53  179.0   9.3  1074  1229  1856  2027  1853  2032 0.92 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3  16  17   1.1e-40   6.9e-37  125.2   1.2  1229  1321  2121  2214  2118  2220 0.92 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3  17  17   5.7e-58   3.7e-54  182.5  11.2  1322  1444  2241  2385  2238  2385 0.87 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/569at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:55 2026
# [ok]
