#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721424.1         -            358 9129at5820           -            305  1.8e-166  551.3  13.9   1   1  5.1e-169  2.1e-166  551.2  13.9     1   305    38   357    38   357 0.96 | transcript=PVPAM_110033000_t1 | gene=PVPAM_110033000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:1200861-1201937(+) | protein_length=358 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 9129at5820           -            305   0.00016   19.4   0.6   1   2   4.1e-07   0.00016   19.4   0.6    28    92     3    71     1    75 0.86 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 9129at5820           -            305   0.00016   19.4   0.6   2   2       4.4   1.8e+03   -3.7   0.1    62    84   155   177   143   189 0.71 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 9129at5820           -            305   0.00047   17.9   1.9   1   3   1.2e-06   0.00047   17.9   1.9    29    91     8    76     2    95 0.76 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 9129at5820           -            305   0.00047   17.9   1.9   2   3       1.3   5.3e+02   -1.9   0.8    75   108   132   165   126   183 0.78 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 9129at5820           -            305   0.00047   17.9   1.9   3   3       2.7   1.1e+03   -3.0   6.8    39   144   190   299   185   308 0.57 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 9129at5820           -            305    0.0013   16.5   0.2   1   1   5.1e-06    0.0021   15.8   0.2    27    95   292   363   289   378 0.78 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 9129at5820           -            305    0.0019   16.0   0.1   1   1   9.1e-06    0.0037   15.0   0.1    28    91    81   148    75   159 0.87 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 9129at5820           -            305    0.0033   15.2   0.4   1   2   8.2e-06    0.0033   15.2   0.4    27    91    25    86    17    95 0.84 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 9129at5820           -            305    0.0033   15.2   0.4   2   2       3.3   1.3e+03   -3.3   0.4    52    69   359   376   342   397 0.50 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 9129at5820           -            305    0.0095   13.7   2.8   1   1   3.9e-05     0.016   12.9   2.8    29    93    85   153    79   223 0.76 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 9129at5820           -            305       0.1   10.3   0.0   1   1   0.00037      0.15    9.7   0.0    26    91    76   141    66   151 0.91 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 9129at5820           -            305      0.51    8.0  21.1   1   3   8.3e-06    0.0033   15.2   8.6    22    91   184   253   167   311 0.83 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 9129at5820           -            305      0.51    8.0  21.1   2   3       1.9   7.6e+02   -2.4   5.0    73   132   284   346   272   374 0.69 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 9129at5820           -            305      0.51    8.0  21.1   3   3       1.8   7.4e+02   -2.4   0.2    47    65   484   499   414   521 0.59 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9129at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9129at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9129at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:56 2026
# [ok]
