#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721881.1         -            250 11856at5820          -            225    7e-115  380.7  25.8   1   1  1.1e-117  7.9e-115  380.5  25.8     1   225     1   241     1   241 0.95 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 11856at5820          -            225   1.6e-07   29.5   9.3   1   1   2.9e-10     2e-07   29.2   9.3    58   198    44   190    16   196 0.82 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 11856at5820          -            225   5.8e-07   27.7  18.9   1   1   2.9e-09   2.1e-06   25.9  17.9    77   218    28   178    22   193 0.74 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 11856at5820          -            225   2.4e-06   25.7  14.6   1   5   0.00025      0.18    9.8  10.0    90   147    75   133    68   134 0.83 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 11856at5820          -            225   2.4e-06   25.7  14.6   2   5   3.4e-09   2.4e-06   25.7  14.6    38   107   132   206   131   233 0.85 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 11856at5820          -            225   2.4e-06   25.7  14.6   3   5       3.2   2.3e+03   -3.7   0.0   181   206   313   338   298   349 0.60 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 11856at5820          -            225   2.4e-06   25.7  14.6   4   5       1.3   9.1e+02   -2.4   0.3    91   122   472   503   466   533 0.56 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 11856at5820          -            225   2.4e-06   25.7  14.6   5   5      0.82   5.9e+02   -1.8   0.8   131   192   547   608   524   623 0.73 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 11856at5820          -            225      0.27    9.2  44.8   1   2   3.5e-05     0.025   12.5  29.8    30   147    40   159    12   177 0.90 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 11856at5820          -            225      0.27    9.2  44.8   2   2    0.0018       1.3    7.0  17.3    44   205   120   289   116   310 0.69 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11856at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11856at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11856at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:56 2026
# [ok]
