#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   1  12   1.4e-11   9.1e-08   28.7   0.1     1    41     7    47     7    53 0.96 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0  12  12  4.8e-227  3.1e-223  742.8  42.8  1144  1547  2014  2443  2009  2443 0.94 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/499at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/499at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/499at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:55 2026
# [ok]
