#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   1  14   5.1e-06     0.033   10.5   0.3     1    22    22    43    22    55 0.88 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8  12  14   5.7e-59   3.7e-55  185.8   7.9   494   618  1480  1617  1460  1624 0.90 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8  13  14   3.5e-16   2.3e-12   44.2   0.2   615   661  1654  1704  1651  1724 0.90 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8  14  14  1.4e-160  8.9e-157  522.1  50.6   661   967  1732  2081  1717  2081 0.91 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1125at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1125at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1125at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:54 2026
# [ok]
