#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723003.1         -            301 10019at5820          -            226  4.6e-133  440.1  15.3   1   3   4.8e-27   2.4e-24   84.5   2.0     1    55     1    56     1    67 0.95 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721569.1         -            152 10019at5820          -            226     8e-12   43.6   0.0   1   1   1.8e-14   8.9e-12   43.4   0.0    83   191     2   112     1   135 0.88 | transcript=PVPAM_110047400_t1 | gene=PVPAM_110047400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=CASCJQ010000011:1766059-1767359(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719651.1         -            163 10019at5820          -            226   7.6e-10   37.1   0.0   1   1   4.7e-12   2.4e-09   35.5   0.0    84   191     6   129     1   142 0.79 | transcript=PVPAM_070026500_t1 | gene=PVPAM_070026500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000007:948202-949547(-) | protein_length=163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723788.1         -            150 10019at5820          -            226   1.8e-07   29.3   0.0   1   1   4.7e-10   2.3e-07   29.0   0.0    88   191    17   119    11   129 0.83 | transcript=PVPAM_140071100_t1 | gene=PVPAM_140071100 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=CASCJQ010000014:2811631-2812838(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719294.1         -            191 10019at5820          -            226   4.9e-06   24.6   0.0   1   1   1.5e-08   7.7e-06   24.0   0.0   112   181    34   103    17   117 0.86 | transcript=PVPAM_060030100_t1 | gene=PVPAM_060030100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000006:1030787-1032223(-) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723771.1         -            624 10019at5820          -            226   4.9e-05   21.4   0.3   1   1   1.7e-07   8.6e-05   20.6   0.3   121   177   208   264   193   281 0.87 | transcript=PVPAM_140069400_t1 | gene=PVPAM_140069400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:2747070-2748944(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10019at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10019at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10019at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:24 2026
# [ok]
