#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720607.1         -            543 4696at5820           -            156  5.9e-103  339.8   3.0   1   1  1.7e-105  1.1e-102  339.0   3.0     1   156    21   177    21   177 0.99 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723660.1         -            710 4696at5820           -            156   1.3e-10   39.8   1.4   3   4      0.54   3.5e+02   -0.5   0.1    87   119   403   435   390   453 0.68 | transcript=PVPAM_140058400_t1 | gene=PVPAM_140058400 | organism=Plasmodium_vivax_PAM | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=CASCJQ010000014:2315160-2317685(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723660.1         -            710 4696at5820           -            156   1.3e-10   39.8   1.4   4   4       3.2     2e+03   -3.0   0.2    98   125   584   611   555   636 0.60 | transcript=PVPAM_140058400_t1 | gene=PVPAM_140058400 | organism=Plasmodium_vivax_PAM | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=CASCJQ010000014:2315160-2317685(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720056.1         -            580 4696at5820           -            156   1.3e-08   33.4   2.8   1   2   2.8e-10   1.8e-07   29.6   0.9     5   129    51   177    47   218 0.85 | transcript=PVPAM_080027800_t1 | gene=PVPAM_080027800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=CASCJQ010000008:1047365-1049376(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720056.1         -            580 4696at5820           -            156   1.3e-08   33.4   2.8   2   2     0.051        33    2.8   0.0    87   131   315   358   309   365 0.80 | transcript=PVPAM_080027800_t1 | gene=PVPAM_080027800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=CASCJQ010000008:1047365-1049376(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4696at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4696at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4696at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:36 2026
# [ok]
